company,segment,role,name,linkedin_or_source,city,priority,why,source_date
Bruc Energy,owner,Director of Energy Management,Javier Urbano,https://brucenergy.com/en/our-team/,Madrid,1,"Отвечает за энергоменеджмент Bruc — 10 проектов BESS по 28-46 МВт (Afrodita, Agatha, Archo I/II, Bianor, Don Rodrigo II/III, Freya, GES, Gazules) в Андалусии; именно эта роль решает, кто диспетчирует батареи",2026-09-06
Bruc Energy,owner,CEO,Luis Venero,https://www.elconciso.es/energia/bruc-almacenamiento-baterias-sevilla_0_2007782958.html,Madrid,1,"CEO Bruc: 2 200 МВт BESS в разработке, в августе 2026 получена авторизация на 9 систем хранения 356,4 МВт в Севилье — крупнейший портфель проектов ровно в целевом диапазоне",2026-08
Bruc Energy,owner,Director of Structured Finance,Claudio Martín,https://brucenergy.com/en/our-team/,Madrid,1,Структурирует финансирование гибридов Bruc с батареями; для банков нужен прогнозируемый доход от диспетчеризации,2026-09-06
Bruc Energy,owner,Technical Director,Gregorio Triviño,https://brucenergy.com/en/our-team/,Madrid,2,Технический директор Bruc — отвечает за проектирование гибридизации ФЭС+BESS в Севилье и Малаге,2026-09-06
Bruc Energy,owner,Chairman,Juan Bejar,https://brucenergy.com/en/our-team/,Madrid,2,"Основатель и председатель Bruc; акционеры OPTrust, USS, Interogo — решение о внешнем оптимизаторе проходит через него",2026-09-06
Opdenergy,owner,CEO,Luis Cid,https://opdenergy.com/en/management-team/,Madrid,1,"9 проектов BESS 24-51 МВт (Belinchón 1-3, Covatillas 3, Las Regañas, Los Belos, Montesol, La Fernandina, Miramundo) — весь портфель в целевом диапазоне 10-50 МВт",2026-09-06
Opdenergy,owner,Chief Business Development Officer,Abraham Morales,https://opdenergy.com/en/management-team/,Madrid,1,Отвечает за развитие бизнеса Opdenergy — точка входа по модели монетизации батарей на 9 испанских BESS-проектах,2026-09-06
Opdenergy,owner,Chief Financial Officer,Tomás Collantes,https://opdenergy.com/en/management-team/,Madrid,1,CFO Opdenergy: считает бизнес-кейс BESS и требования банков к прогнозу выручки,2026-09-06
Opdenergy,owner,COO,José Antonio Gil,https://opdenergy.com/en/management-team/,Madrid,1,"COO с октября 2024; ранее вёл международную команду по сетевому подключению ФЭС, ВЭС и систем хранения, в т.ч. в Испании",2026-09-06
Grenergy,owner,CEO & Founder,David Ruiz de Andrés,https://grenergy.eu/grenergy-secures-the-first-financing-for-a-stand-alone-battery-energy-storage-project-in-spain-worth-e100-million/,Madrid,1,Заявлял о «вехе» с Oviedo 154 МВт/618 МВт·ч — первый stand-alone project finance в Испании; Grenergy сам берёт на себя трейдинг батарей,2026-07-22
Grenergy,owner,Chief Financial Officer,Emi Takehara,https://www.linkedin.com/in/emi-takehara-934095b/,Madrid,1,Закрыла €100 млн от Santander и SMBC под BESS Oviedo и 12-летний финансовый tolling по Escuderos (680 МВт·ч),2026-07-22
Grenergy,owner,Chief Strategy and Capital Markets Officer,Daniel Lozano Herrera,https://theorg.com/org/grenergy-renovables/org-chart,Madrid,1,Отвечает за стратегию и рынки капитала; платформа Greenbox — 35 ГВт·ч пайплайна накопителей,2026-09-06
Zelestra,owner,Chief Development Officer & CEO Spain,Jaime Burguete,https://zelestra.energy/en/global/spain,Madrid,1,"Возглавляет испанский бизнес Zelestra; проект SPK Trujillo 109,2 МВт (Касерес) — решение по диспетчеризации на нём",2026-09-06
Zelestra,owner,Group Chief Commercial Officer (CCO),Ivan Nieto Ruiz,https://theorg.com/org/zelestra/org-chart,Madrid,1,Групповой CCO — отвечает за коммерческую модель продажи энергии и услуг гибкости,2026-09-06
Zelestra,owner,Chief Financial Officer,Xavier Puig i Borràs,https://theorg.com/org/zelestra/org-chart,Madrid,2,CFO Zelestra: оценка контрактных схем (tolling vs merchant) по испанским активам,2026-09-06
Zelestra,owner,Chief Executive Officer,Leo Moreno,https://theorg.com/org/zelestra/org-chart,Madrid,2,CEO Zelestra — глобальное решение по накопителям и цифровым инструментам,2026-09-06
Matrix Renewables,owner,President,Luis Sabaté,https://theorg.com/org/matrix-renewables/org-chart,Madrid,1,"Проект BESS Lagerung 101,8 МВт (Жирона); портфель TPG Rise, ищет источники дохода для батарей",2026-09-06
Matrix Renewables,owner,Chief Commercial Officer,Chris Matthews,https://theorg.com/org/matrix-renewables/org-chart,Madrid,1,"CCO Matrix — отвечает за PPA/маркетинг энергии, прямой контрагент по вопросу диспетчеризации BESS",2026-09-06
Matrix Renewables,owner,Chief Financial Officer,Nicolas Navas,https://theorg.com/org/matrix-renewables/org-chart,Madrid,2,CFO — экономика хранения и требования инвестора TPG к доходности,2026-09-06
X-Elio,owner,Executive Chairman,Lluis Noguera,https://theorg.com/org/x-elio/org-chart,Madrid,1,BESS Pacheco 105 МВт (Мурсия) и PSF El Tello + storage 63 МВт (Валенсия); актив Brookfield,2026-09-06
X-Elio,owner,Chief Operating Officer,Fernando Lacaci,https://theorg.com/org/x-elio/org-chart,Madrid,1,COO X-Elio — эксплуатация и оптимизация испанского портфеля с накопителями,2026-09-06
Sonnedix,owner,Chief Executive Officer,Axel Thiemann,https://elperiodicodelaenergia.com/sonnedix-firma-un-producto-financiero-con-endesa-para-gestionar-renovables-y-baterias-a-partir-de-2027/,London,1,"Подписал с Endesa финпродукт на 262,8 ГВт·ч с 2027 под ФЭС и батареи — то есть отдал диспетчеризацию контрагенту, живой кейс для сравнения с софт-оптимизацией",2026-04-14
Sonnedix,owner,Chief Commercial Officer,Gregorio Morales Schmid,https://elperiodicodelaenergia.com/sonnedix-firma-un-producto-financiero-con-endesa-para-gestionar-renovables-y-baterias-a-partir-de-2027/,London,1,"Цитировался по сделке с Endesa: «комбинируя солнце и хранение, даём стабильность поставки» — прямо отвечает за структуру монетизации BESS",2026-04-14
