candidate_id,name,url,one_liner,assumed_round,assumed_date,discovered_via,decision,reason
a-01,Instinct,https://techcrunch.com/2026/08/26/viral-ai-startup-instinct-has-raised-350-million-at-a-2-5-billion-valuation/,Персональный AI-ассистент: пишешь/звонишь — сам выполняет бытовые задачи,series B $250M,2026-08-26,WebSearch: AI startup raises Series A August 2026 TechCrunch,duplicate,дубль: запись слита с полосой B
a-02,River AI,https://techcrunch.com/2026/08/11/general-catalyst-leads-1-1b-round-into-2-month-old-river-ai/,Открытый AI-стек (RL+LoRA API) от сооснователя xAI Бабушкина,seed/series A $1.1B,2026-08-11,WebSearch: AI startup raises Series A August 2026 TechCrunch,rejected,PASS 6: wow_score 3 — за чертой финального отбора при квоте 15 (ядро выдачи 4–5)
a-03,Walden Robotics,https://thenextweb.com/news/walden-robotics-300-million-toyota-humanoid,Колёсные полугуманоидные роботы уже работают смены на заводе Toyota,seed $300M,2026-07-15,WebSearch: AI startup raises seed round July 2026 (дайджест AlleyWatch) + проверка,included,Раунд подтверждён (Bloomberg+TNW+Businesswire); роботы в продакшне — wow 4
a-04,Naïve,https://techcrunch.com/2026/08/06/naive-raises-28-5m-to-automate-the-grunt-work-of-setting-up-and-running-a-company/,API-слой для AI-агентов: инкорпорация LLC + платежи + почта + облако,series A $28.5M,2026-08-06,WebSearch: AI startup raises Series A August 2026 TechCrunch,included,Раунд подтверждён (TC+SiliconANGLE+FinSMEs); новая категория agent-native инфраструктуры + трекшен — wow 4
a-05,Prime Intellect,https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,Платформа (compute+RL+evals) для тренировки собственных enterprise-агентов,series A $130M,2026-07-08,WebSearch: AI startup raises Series A August 2026 TechCrunch,included,Раунд подтверждён (TC+Radical Ventures+эхо); $100M ARR за ~2 года — wow 4
a-06,Eridu,https://techcrunch.com/2026/03/10/ai-network-startup-eridu-emerges-from-stealth-with-hefty-200m-series-a/,Сетевые свитчи на кастомном кремнии для AI-датацентров,series A $200M+,2026-03-10,WebSearch: AI startup emerges from stealth funding 2026,rejected,"Продукт — сетевое железо ДЛЯ AI-кластеров, не AI-механика; вау сверх раунда — только клеймы компании"
a-07,Micro1,https://techcrunch.com/2026/08/20/ai-data-startup-micro1-reaches-500m-gross-run-rate-amid-ai-training-boom/,AI-данные для тренировки моделей; $500M gross run rate,series A $35M,2025-09,WebSearch: AI startup raises Series A August 2026 TechCrunch,rejected,"Подтверждённый раунд (Series A) — сентябрь 2025, вне окна; новый раунд не анонсирован"
a-08,Runable,https://techcrunch.com/2026/08/26/runable-hits-21m-to-bet-ai-agents-can-go-from-building-businesses-to-growing-them/,AI-агент для малого бизнеса: сайты/приложения/рост по промпту,series A $21M,2026-08-26,WebSearch: Product Hunt AI launch 2026 funding,rejected,Компания из Бангалора (Индия) — вне полосы A (США)
a-09,Apoha,https://fortune.com/2026/06/03/apoha-36-million-series-a-funding-round-exit-stealth-wave-form-ai-liquid-intelligence/,«Liquid intelligence»: AI учится чувствовать материалы (VIBE-эмбеддинги),unlabeled round (в составе $36M total),2026-весна,WebSearch: AI startup emerges from stealth funding 2026,rejected,HQ Лондон (и SF) — вне полосы A; плюс сумма именно нового раунда не выделена в источнике
a-10,Glow,https://techcrunch.com/2026/07/22/glow-emerges-from-stealth-at-1-2b-valuation-to-challenge-endpoint-security-in-the-ai-era/,Endpoint security для эпохи AI; из стелса при $1.2B,series A $180M,2026-07-22,WebSearch: AI startup emerges from stealth funding 2026,rejected,Вау-признаков кроме размера раунда (W4) не найдено; при квоте 4-6 не отобран
a-11,Fundamental,https://techcrunch.com/2026/06/18/the-11-standout-startups-from-ycs-demo-day-according-to-vcs/,Enterprise-AI стартап; $255M при оценке $1.2B,unknown $255M,2026,WebSearch: AI startup emerges from stealth funding 2026,rejected,"Виден только в сводке; вау сверх денег не установлено, детали не проверялись глубже"
a-12,Stability AI,https://techcrunch.com/2026/08/25/stability-ai-maker-of-image-generator-stable-diffusion-raises-76-million-in-fresh-funding/,Разработчик Stable Diffusion; $76M от мейджор-лейблов и AMD,series B $76M,2026-08-25,WebSearch: AI startup raises Series A August 2026 TechCrunch,rejected,"Зрелая известная компания, не «новый стартап-вау»; вау-эффекта по чек-листу нет"
a-13,Smallest.ai,https://techcrunch.com/2026/07/31/smallest-ai-raises-13m-to-build-ultra-fast-voice-ai-that-sounds-genuinely-human/,Ультрабыстрый голосовой AI «как человек»,unknown $13M,2026-07-31,WebSearch: AI startup raises Series A August 2026 TechCrunch,rejected,Внешних вау-свидетельств (W1-W3) не найдено при проверке выдачи; скромный раунд
a-14,Patronus AI,https://techcrunch.com/2026/06/25/patronus-ai-lands-50m-to-build-digital-worlds-that-stress-test-ai-agents/,«Цифровые миры» для стресс-тестов AI-агентов,unknown $50M,2026-06-25,WebSearch: AI startup raises funding April May 2026 TechCrunch,rejected,"Интересная механика, но независимых вау-свидетельств сверх раунда в выдаче не найдено"
a-15,Probably,https://techcrunch.com/2026/06/16/probably-raises-9m-to-build-a-more-reliable-kind-of-ai/,«Более надёжный тип AI»,seed $9M,2026-06-16,WebSearch: AI startup raises funding April May 2026 TechCrunch,rejected,Вау-свидетельств не найдено; ранняя стадия без внешнего эха
a-16,Twin1 AI,https://techstartups.com/2026/08/20/twin1-ai-emerges-from-stealth-with-20m-in-funding-to-give-every-professional-an-ai-powered-digital-twin/,AI-«цифровой двойник» для каждого профессионала,seed $20M,2026-08-20,WebSearch: AI startup emerges from stealth funding 2026,rejected,Только собственные материалы/один источник; внешнего вау нет
a-17,Radical Numerics,https://techstartups.com/2026/07/06/venture-capital-startup-funding-roundup-july-6-2026/,AI-стартап; $50M seed (Emergence Capital),seed $50M,2026-07,funding-дайджест Tech Startups,rejected,"Виден только в дайджесте; раунд не проверен по двум источникам, вау не установлено"
a-18,Ellis,https://techstartups.com/2026/07/01/venture-capital-startup-funding-roundup-july-1-2026/,AI-агенты для private credit менеджеров,seed $10M+,2026-07,funding-дайджест Tech Startups,rejected,"Виден только в дайджесте; раунд не подтверждён независимо, вау не установлено"
a-19,Ploy,https://techcrunch.com/2026/06/18/the-11-standout-startups-from-ycs-demo-day-according-to-vcs/,YC W26 стартап; $27M seed (First Round + YC),seed $27M,2026-06,WebSearch: YC Demo Day 2026,rejected,Раунд виден во вторичных сводках; независимое подтверждение и вау-свидетельства не собраны
a-20,Horizon3,https://thenextweb.com/news/horizon3-250m-series-e-2bn-autonomous-ai-pentest,Автономный AI-пентест собственной сети; $250M при $2B,series E $250M,2026,WebSearch: AI startup viral demo Hacker News summer 2026,rejected,"Series E — поздняя стадия (D+), wow_score 5 не подтверждён — вне рамок радара"
a-21,Arrakis,https://fortune.com/2026/07/22/arrakis-a-startup-betting-ais-biggest-payoff-is-in-industrial-sectors-not-office-work-emerges-from-stealth-with-38-million-in-venture-funding/,AI-«операционная система» для индустриальных компаний,series A $30-38M,2026-07-22,WebSearch: AI startup emerges from stealth funding 2026,rejected,"Расхождение сумм в источниках ($30M vs $38M), вау-свидетельств сверх выхода из стелса нет"
a-22,Recall,https://wellows.com/blog/ai-startups/,AI-платформа знаний; вирусный запуск на HN; $1.5M pre-seed,pre-seed $1.5M,unknown,WebSearch: AI startup viral demo Hacker News summer 2026,rejected,Дата раунда не установлена — попадание в окно 2026-03..09 не подтверждено
a-23,Oak,https://alleywatch.com/2026/08/global-startup-funding-top-largest-july-2026-vc/,AI-native identity management; $60M seed (Accel/CRV/Greylock),seed $60M,2026-07,funding-дайджест AlleyWatch,rejected,Израильская компания — вне полосы A (США)
a-24,Enigma,https://www.calcalistech.com/ctechnews/article/h1tdxjhrgx,AI для роботов; $71M seed,seed $71M,2026,WebSearch: AI startup emerges from stealth funding 2026,rejected,Израильская компания — вне полосы A (США)
a-25,Oppex AI,https://www.finsmes.com/2026/09/oppex-ai-raises-approx-usd500k-in-pre-seed-funding.html,Production ops / AI-native software reliability; ~$500K pre-seed,pre-seed $500K,2026-09,WebSearch: AI startup funding September 2026,rejected,Бангалор (Индия) — вне полосы A (США)
