url,publisher,source_type,accessed,status,used_for
https://www.vedomosti.ru/press_releases/2020/07/21/ii-sistema-monitoringa-truda-solut-uvelichila-proizvoditelnost-stroitelei-gk-pik-na-20,Ведомости,media,2026-08-27,ok,ru-cn-pik-solut-labor-01
https://www.comnews.ru/digital-economy/content/208188/2020-07-21/2020-w30/ii-sistema-monitoringa-truda-solut-uvelichila-proizvoditelnost-stroiteley-gk-pik,ComNews,media,2026-08-27,ok,ru-cn-pik-solut-labor-01
https://www.lanit.ru/press/archive/ii-sistema-monitoringa-truda-solut-uvelichila-proizvoditelnost-stroiteley-gk-pik-na-20/,ЛАНИТ,vendor,2026-08-27,ok,ru-cn-pik-solut-labor-01
https://cio.osp.ru/articles/110423-Samolet-intellektualnyy-monitoring-stroyki,CIO.osp.ru (Открытые системы),media,2026-08-27,ok,ru-cn-samolet-site-monitoring-01
https://www.secuteck.ru/articles/avtomatizaciya-stroitelstva-opyt-gk-samolet,Secuteck.ru,media,2026-08-27,ok,ru-cn-samolet-site-monitoring-01
https://dvizhenie.ru/media/181/iskusstvennyi-intellekt-v-developmente-keisy-zastroishchikov,Движение.ру,media,2026-08-27,ok,ru-cn-samolet-site-monitoring-01
https://platforms.su/project/2535,Цифровой маркетплейс platforms.su,vendor,2026-08-27,ok,ru-cn-fsk-samolet10d-cv-01
https://ruward.ru/award/2025/571632/,RUWARD AWARD 2025,media,2026-08-27,ok,ru-cn-fsk-redmadrobot-rag-01
"https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%D0%93%D0%9A_%D0%A4%D0%A1%D0%9A_(%D0%98%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%D0%BA%D1%82_(%D0%98%D0%98,_Artificial_intelligence,_AI))",TAdviser,media,2026-08-27,ok,ru-cn-fsk-redmadrobot-rag-01
https://xn--80aque.xn--p1ai/news/napoleon-it-i-pao-apri-zapuskayut-masshtabnoe-vnedrenie-vizualnogo-intellekta-v-stroitelstve/,Всеостройке.рф,vendor,2026-08-27,ok,ru-cn-apri-napoleonit-visual-01
https://www.tbank.ru/invest/social/profile/APRI_Official/18f72677-61cc-4dd7-a4fe-3ee30299c2c7/,Т-Инвестиции (пост АПРИ),client,2026-08-27,ok,ru-cn-apri-napoleonit-visual-01
https://www.norbit.ru/proekty/razrabotka-sistemy-prognozirovaniya-prodazh-na-baze-ai-tekhnologiy-v-gruppe-etalon/,НОРБИТ,vendor,2026-08-27,ok,ru-cn-etalon-norbit-sales-01
https://www.vedomosti.ru/press_releases/2023/06/07/norbit-i-gruppa-etalon-zapuskayut-sistemu-prognozirovaniya-prodazh-na-baze-iskusstvennogo-intellekta,Ведомости,media,2026-08-27,ok,ru-cn-etalon-norbit-sales-01
https://iot.ru/riteyl/norbit-i-gruppa-etalon-zapuskayut-sistemu-prognozirovaniya-prodazh-na-baze-ii,IoT.ru,media,2026-08-27,ok,ru-cn-etalon-norbit-sales-01
https://sberbs.ru/blogs/cases/videoanalitika-na-osnove-ii-dlya-povysheniya-bezopasnosti-na-stroyploschadke,Сбер2B (Сбер Бизнес Софт),vendor,2026-08-27,ok,ru-cn-sber2b-videoanalytics-rostov-01
https://finance.mail.ru/article/domklik-testiruet-ii-agenta-dlya-podbora-zhilya-69214998/,Финансы Mail.ru,media,2026-08-27,ok,ru-cn-domclick-ai-agent-01
https://russianhighways.ru/press/news/119776/,Автодор (russianhighways.ru),client,2026-08-27,ok,ru-cn-avtodor-m11-noisescreens-cv-01
https://buildots.com/case-studies/intel-partners-with-buildots/,Buildots,vendor,2026-08-27,ok,us-cn-intel-buildots-cv-01
https://pages.buildots.com/intel-case-study,Buildots,vendor,2026-08-27,ok,us-cn-intel-buildots-cv-01
https://buildots.com/case-study/mace-partners-with-buildots/,Buildots,vendor,2026-08-27,ok,gb-cn-mace-buildots-cv-01
https://www.openspace.ai/resources/case-studies/openspace-improves-jll-project-delivery-through-faster-more-complete-documentation/,OpenSpace,vendor,2026-08-27,ok,us-cn-jll-openspace-docs-01
https://blog.alicetechnologies.com/case-studies/af-gruppen,ALICE Technologies,vendor,2026-08-27,ok,no-cn-afgruppen-alice-schedule-01
https://brainboxai.com/en/case-studies/dollar-tree-unlocks-major-energy-and-emissions-savings-with-brainbox-ai,BrainBox AI,vendor,2026-08-27,ok,us-cn-dollartree-brainboxai-hvac-01
https://www.jll.com/en-us/client-stories/ai-powered-facilities-management,JLL,vendor,2026-08-27,ok,global-cn-jll-fm-semiconductor-01
https://www.testfit.io/customer-stories/bsb-design,TestFit,vendor,2026-08-27,ok,us-cn-bsbdesign-testfit-sitefeasibility-01
https://www.bsbdesign.com/insights/ai-case-study-testfit-concept-to-entitlement-package/,BSB Design,client,2026-08-27,ok,us-cn-bsbdesign-testfit-sitefeasibility-01
