candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
ru-mf-severstal-cv-quality-01,Северсталь (ЧерМК),Северсталь Диджитал,https://up-pro.ru/library/information_systems/automation_production/kompyuternoe-zreniei-opyt-severstali/,Автоматическая аттестация металлопроката компьютерным зрением на ЧерМК (Северсталь),manufacturing,cv-inspection,included,"evidence B, sales_relevance 4"
ru-mf-mmk-temp-forecast-01,ММК (Магнитогорский металлургический комбинат),ММК-Информсервис (Центр ИИ ММК),https://platforms.su/project/3022,ML-помощник прогнозирования температуры металла в электросталеплавильном цехе ММК,manufacturing,forecasting,included,"evidence C, sales_relevance 3"
ru-mf-nlmk-ferroalloy-advisor-01,НЛМК,Инфосистемы Джет,https://lipetsk.nlmk.com/ru/media-center/press-releases/nlmk-vnedril-sistemu-iskusstvennogo-intellekta-v-pomoshch-stalevaru/,ИИ-советчик сталевара по дозировке ферросплавов на НЛМК,manufacturing,optimization,included,"evidence B, sales_relevance 4"
ru-mf-evraz-zsmk-predictive-01,ЕВРАЗ ЗСМК (Западно-Сибирский металлургический комбинат),,https://www.cnews.ru/news/line/2026-08-07_prediktivnaya_diagnostika,Предиктивная диагностика оборудования на ЕВРАЗ ЗСМК,manufacturing,predictive-maintenance,included,"evidence A, sales_relevance 5"
ru-mf-rusal-ingot-cv-01,РУСАЛ,Инженерно-технологический центр РУСАЛа (РУСАЛ ИТЦ),https://rusal.ru/press-center/press-releases/rusal-nachal-primenyat-iskusstvennyy-intellekt-dlya-analiza-kachestva-alyuminievykh-slitkov/,ИИ-анализ микроструктуры алюминиевых слитков в лаборатории РУСАЛа,manufacturing,quality-control,included,"evidence A, sales_relevance 4"
ru-mf-rusal-eltm-monitoring-01,РУСАЛ,Инженерно-технологический центр РУСАЛа,https://rusal.ru/press-center/press-releases/rusal-vnedryaet-iskusstvennyy-intellekt-v-globalnuyu-sistemu-monitoringa-alyuminievogo-proizvodstva/,ИИ в системе мониторинга электролизного производства ELTM (РУСАЛ),manufacturing,optimization,included,"evidence C, sales_relevance 3"
ru-mf-odk-saturn-blade-cv-01,"ОДК-Сатурн (Объединённая двигателестроительная корпорация, Ростех)",Точка зрения,https://www.comnews.ru/digital-economy/content/245820/2026-06-11/2026-w24/1012/odk-vnedrila-ii-dlya-kontrolya-lopatok-dvigatelya-pd-8,Роботизированный комплекс «Точка контроля» для контроля лопаток двигателя ПД-8 (ОДК-Сатурн),manufacturing,cv-inspection,included,"evidence B, sales_relevance 4"
ru-mf-sveza-safety-cv-01,Свеза (фанерный комбинат в Санкт-Петербурге),,https://www.comnews.ru/digital-economy/content/246400/2026-07-14/2026-w29/1012/sveza-usilila-bezopasnost-proizvodstva-pomoschyu-cifrovykh-tekhnologiy,Компьютерное зрение и лидары для контроля сближения «транспорт — человек» на комбинате «Свеза»,manufacturing,security,included,"evidence C, sales_relevance 3"
ru-mf-kamaz-paint-cv-01,КАМАЗ,KAMAZ Digital,https://kamaz.ru/press/news/kompyuternoe_zrenie_ot_kamaz_digital_dlya_kontrolya_kachestva_na_kamaze/,Компьютерное зрение KAMAZ Digital для контроля качества грунтовки кузовных деталей,manufacturing,cv-inspection,included,"evidence A, sales_relevance 4"
ru-mf-sibur-ai-lab-pricing-01,СИБУР,,https://platforms.su/project/3059,Рекомендательная система ценообразования Лаборатории ИИ СИБУРа,manufacturing,pricing,included,"evidence C, sales_relevance 3"
us-mf-ge-aerospace-borescope-01,GE Aerospace,Waygate Technologies (Baker Hughes),https://www.geaerospace.com/news/press-releases/ge-aerospace-waygate-technologies-deliver-new-ai-assisted-commercial-jet-engine,ИИ-ассистированная бороскопическая инспекция авиадвигателей GE Aerospace и Waygate Technologies,manufacturing,cv-inspection,included,"evidence A, sales_relevance 5"
de-mf-bmw-vsas-cv-01,BMW Group,,https://aws.amazon.com/solutions/case-studies/bmw-vsas-case-study/,Платформа Vision and Sound Analytics Service (VSAS) для контроля качества производства BMW,manufacturing,quality-control,included,"evidence A, sales_relevance 5"
global-mf-bosch-maintenance-tractian-01,Bosch,Tractian,https://tractian.com/en/case-studies/bosch,ИИ-инструмент mAIntenance и датчики Tractian для предиктивного обслуживания на заводе Bosch,manufacturing,predictive-maintenance,included,"evidence B, sales_relevance 4"
tw-mf-foxconn-nxvae-cv-01,Foxconn (Hon Hai Technology Group),,https://www.foxconn.com/en-us/press-center/events/csr-events/533,FOXCONN NxVAE: обучение без учителя для визуальной инспекции дефектов,manufacturing,cv-inspection,included,"evidence B, sales_relevance 4"
ca-mf-canfor-augury-pm-01,Canfor (завод Axis Mill),Augury,https://www.tipranks.com/news/private-companies/industrial-customer-case-highlights-predictive-maintenance-gains-at-augury,Предиктивное обслуживание на базе вибрационного мониторинга Augury на заводе Canfor Axis Mill,manufacturing,predictive-maintenance,included,"evidence B, sales_relevance 4"
de-mf-siemens-amberg-ai-01,Siemens (завод Electronics Works Amberg),,https://www.siemens.com/en-us/company/insights/electronics-digital-enterprise-future-technologies/,ИИ и цифровой двойник на заводе Siemens Electronics Works Amberg,manufacturing,quality-control,included,"evidence A, sales_relevance 5"
