candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
c01,Табер Трейд (сеть «Подружка»),Directum / ЦВД,https://centrvd.ru/cases/podruzhka,Автоматизация обработки входящих счетов Directum Ario,retail-ecommerce,document-processing,included,"Named client, конкретные метрики, включён как ru-dc-podruzhka-directum-01"
c02,Банк ДОМ.РФ,Smart Engines / NVI Solutions,https://www.tadviser.ru/index.php/Проект:Дом.РФ_АКБ_(ранее_Российский_капитал)_(Smart_IDReader),Распознавание документов заёмщиков на базе ИИ,finance-insurance,document-processing,included,"Named client и вендор, включён как ru-dc-domrf-smartid-01"
c03,Почта России,Doczilla,https://doczilla.pro/ru/cases/pochta-rossii-avtomatizaciya-podgotovki/,Автоматизация подготовки и согласования договоров,logistics-transport,"document-processing, legal-compliance",included,"Сильные количественные метрики, включён как ru-dc-pochta-doczilla-01"
c04,Сбербанк,ПАО Сбербанк (in-house GigaChat),https://banks.cnews.ru/news/line/2024-03-14_yuristamrieltoram_i_drugim,Юридический ИИ-ассистент GigaLegal на базе GigaChat,finance-insurance,legal-compliance,included,"Named product и клиент, но без цифр - включён как ru-dc-sber-gigalegal-01 (grade C)"
c05,ЕВРАЗ,in-house,https://pravo.ru/company_news/258472/,Автовыжимки договоров и листы ознакомления,manufacturing,legal-compliance,included,"Цитата представителя компании, включён как ru-dc-evraz-legal-01 (grade C)"
c06,Финтех-стартап (NDA),HappyStar Recruiting,https://companies.rbc.ru/news/12tUB6DL0J/skrining-rezyume-na-avtomate-kak-ai-sokraschaet-vremya-podbora-kadrov-vdvoe/,AI-скрининг резюме сократил отбор с 10ч до 20мин,finance-insurance,hr-recruitment,included,"Клиент NDA, но реальные цифры, включён как ru-dc-fintech-happystar-01"
c07,СберМаркет,Naumen,https://www.naumen.ru/products/kms/academy/articles/kak-baza-znaniy-na-platforme-naumen-kms-pomogaet-riteyleru-uluchshit-biznes-pokazateli/,Миграция базы знаний с Confluence на Naumen KMS,retail-ecommerce,knowledge-management,included,"Named клиент, качественные результаты, включён как ru-dc-sbermarket-naumen-01"
c08,X5 Group,Just AI (Jay Copilot),https://generation-ai.ru/cases/x5-group-i-analitika,GenAI-копилот для аналитики без кода,retail-ecommerce,"operations-copilot, knowledge-management",included,"Named клиент и вендор, включён как ru-dc-x5-jaycopilot-01"
c09,Ростелеком,in-house,https://pravo.ru/company_news/258472/,Мониторинг нормативных актов и дайджесты для GR,telecom,legal-compliance,included,"Цитата представителя компании, включён как ru-dc-rostelecom-legalwatch-01 (grade C)"
c10,A&O Shearman,Harvey / Microsoft,https://www.aoshearman.com/en/insights/analyze-is-the-new-contractmatrix-module-making-contract-review-even-more-powerful,ContractMatrix для проверки договоров тысячами юристов,professional-services,legal-compliance,included,"Первичный источник клиента + независимое подтверждение Microsoft, включён как gb-dc-aoshearman-harvey-01 (grade A)"
