candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
ru-en-so-ups-vre-forecast-01,АО «Системный оператор Единой энергетической системы» (СО ЕЭС),АО «НТЦ ЕЭС Информационные комплексы» (дочерняя компания СО ЕЭС),https://www.so-ups.ru/news/press/press-release-view/news/24306/,Нейросети для прогнозирования выработки солнечных и ветровых электростанций у Системного оператора ЕЭС,energy-utilities,forecasting,included,"evidence A, sales_relevance 5"
ru-en-tplus-ziiot-pdm-01,ПАО «Т Плюс»,ГК «Цифра» (Zyfra),https://www.zyfra.com/ru/news/media/t-plius-ziiot/,Предиктивная аналитика на платформе ZIIoT предотвратила аварийные простои на ТЭЦ «Т Плюс»,energy-utilities,predictive-maintenance,included,"evidence B, sales_relevance 5"
ru-en-mosenergosbyt-rt-cc-01,ПАО «Мосэнергосбыт»,Ростелеком,https://www.company.rt.ru/press/news/d476709/,Ростелеком повысил эффективность исходящих звонков контакт-центра «Мосэнергосбыта»,energy-utilities,customer-support,included,"evidence B, sales_relevance 4"
ru-en-mailru-predict-rosseti-loss-01,ПАО «Россети Центр»,PREDICT (подразделение Mail.ru Group),https://www.cnews.ru/news/line/2021-03-17_mailru_group_pomogla_rosseti,PREDICT (Mail.ru Group) снизил стоимость выявления хищений электроэнергии в «Россети Центр» более чем вдвое,energy-utilities,fraud-risk,included,"evidence A, sales_relevance 5"
ru-en-mts-energytool-rosseti-01,"Компании группы «Россети» (включая «Башкирэнерго», «Россети Сибирь»)",МТС,https://www.vedomosti.ru/technologies/industries_and_markets/news/2025/10/16/1147306-elektroenergii-pomoschyu,Платформа EnergyTool от МТС выявляет хищения электроэнергии и нелегальный майнинг в сетях группы «Россети»,energy-utilities,fraud-risk,included,"evidence B, sales_relevance 4"
ru-en-rosatom-kursk-operator-01,Росэнергоатом / Курская АЭС (Госкорпорация «Росатом»),,https://strana-rosatom.ru/2026/05/21/vkalyvaet-ii-a-ne-chelovek-kak-iskusstv/,Система информационной поддержки оператора на энергоблоке ВВЭР-ТОИ Курской АЭС,energy-utilities,operations-copilot,included,"evidence B, sales_relevance 4"
ru-en-tvel-atommind-01,АО «ТВЭЛ» (топливная компания Росатома),,https://strana-rosatom.ru/2026/05/21/vkalyvaet-ii-a-ne-chelovek-kak-iskusstv/,"Платформа «Атоммайнд» ТВЭЛ даёт экономический эффект свыше 2,5 млрд рублей",energy-utilities,predictive-maintenance,included,"evidence B, sales_relevance 4"
ru-en-cifra-sapran-chp8-01,Одна из крупнейших частных энергетических компаний России (клиент не назван),"ГК «Цифра» (Zyfra); САПРАН",https://www.comnews.ru/digital-economy/content/235312/2024-09-20/2024-w38/1012/cifra-i-sapran-zapustili-sistemu-prognosticheskogo-analiza-i-diagnostiki-oborudovaniya-vosmi-tec,Цифра и САПРАН запустили систему прогностического анализа и диагностики оборудования на восьми ТЭЦ частной энергокомпании,energy-utilities,predictive-maintenance,included,"evidence B, sales_relevance 3"
us-en-deepmind-wind-forecast-01,Google,DeepMind,https://deepmind.google/blog/machine-learning-can-boost-the-value-of-wind-energy/,DeepMind повысил ценность ветрогенерации Google на 20% за счёт прогноза выработки на 36 часов вперёд,energy-utilities,forecasting,included,"evidence A, sales_relevance 5"
us-en-enel-raptormaps-solar-01,Enel Green Power North America,Raptor Maps,https://www.globenewswire.com/en/news-release/2018/08/02/1546519/0/en/Enel-Green-Power-North-America-and-Raptor-Maps-Team-Up-for-Cutting-Edge-Solar-Management-Through-Drones-and-AI.html,Enel Green Power и Raptor Maps: дроны с ИИ ускоряют диагностику солнечных электростанций с дней до часов,energy-utilities,cv-inspection,included,"evidence B, sales_relevance 4"
us-en-orsted-sparkcognition-01,Ørsted,SparkCognition,https://us.orsted.com/news-archive/2023/11/orsted-deploys-sparkcognitions-ai-solution-to-enhance-wind-solar-and-storage,"Ørsted развернул платформу SparkCognition Renewable Suite на портфеле активов ВИЭ мощностью 5,5 ГВт в США",energy-utilities,predictive-maintenance,included,"evidence B, sales_relevance 4"
us-en-xcelenergy-panoai-wildfire-01,Xcel Energy,Pano AI,https://stories.xcelenergy.com/stories/using-advanced-technology-to-combat-wildfire-risk,Xcel Energy использует камеры Pano AI для раннего обнаружения лесных пожаров у линий электропередачи,energy-utilities,security,included,"evidence B, sales_relevance 4"
us-en-dukeenergy-sciml-transformer-01,Duke Energy,Doble Engineering Co.,https://www.tdworld.com/digital-innovations/article/21262976/duke-energys-hybrid-approach-to-ai,Duke Energy сократила время ежегодной оценки парка силовых трансформаторов с недель до дней с помощью SciML,energy-utilities,predictive-maintenance,included,"evidence B, sales_relevance 4"
kr-en-encored-aws-vpp-01,Encored Technologies,Amazon Web Services (AWS),https://aws.amazon.com/solutions/case-studies/encored-technologies-case-study/,Encored Technologies развернула HPC-кластер на AWS для прогноза выработки ВИЭ за 3 дня вместо 6 месяцев,energy-utilities,forecasting,included,"evidence B, sales_relevance 3"
