candidate_id,client,vendor,url,reason_code,reason
cand-010,Краснодарское учебное хозяйство,разные (Lely/DeLaval/GEA роботы),https://www.agroinvestor.ru/animal/article/33325-konets-ruchnogo-upravleniya-kakie-tsifrovye-tekhnologii-vnedryayutsya-na-zhivotnovodcheskikh-predpri/,not_ai,"Общая модернизация и роботизация фермы с 2012 г., конкретный AI/ML-механизм в источнике не описан"
cand-011,ГК Черкизово,неизвестно,https://www.agroinvestor.ru/animal/article/33325-konets-ruchnogo-upravleniya-kakie-tsifrovye-tekhnologii-vnedryayutsya-na-zhivotnovodcheskikh-predpri/,not_ai,"Роботизированный завод в основном за счёт робототехники и онлайн-учёта, AI/ML-компонент не подтверждён источником"
cand-012,ГК Черкизово,неизвестно,https://agrotrend.ru/news/37866-cherkizovo-nazvala-prioritety-v-tsifrovizatsii/,unverifiable,"Упоминание машинного зрения общее (более 7 лет), конкретная система, масштаб и результат не найдены"
cand-016,АО Агрохолдинг Степь,неизвестно,https://www.interfax.ru/business/1104379,no_result,"Отдельная новая инициатива (синхронизация данных стада с ГИС) без результатов; не включена в кейс Степи во избежание смешения двух разных проектов"
cand-017,неназванные агрокомплексы,ФосАгро,https://www.timacad.ru/announcements/timiriazevka-i-fosagro-zapuskaiut-flagmanskuiu-programmu-dpo-po-tsifrovizatsii-apk,announcement_only,"Образовательная программа ДПО по цифровизации АПК, а не внедрение AI-решения у клиента"
cand-018,неизвестно,ExactFarming,https://exactfarming.com/allfunctionsef,no_client,"Продуктовая страница вендора без названного клиента и результата внедрения"
cand-019,неизвестно,Геомир,https://www.avgust.com/services/newspaper/programma_exactfarming/,no_client,"Конкретного клиента и кейса с результатом не найдено"
cand-020,ИНАРКТИКА,неизвестно,https://inarctica.com/,unverifiable,"Собственный сайт компании при проверке не содержит упоминаний AI/CV-систем для мониторинга здоровья рыбы"
cand-021,Росрыболовство,неизвестно,https://digirpt.com/2026/08/11/pochemu-lososja-stalo-menshe-kak-bpla-i-ii-schitajut-rybu-na-dalnem-vostoke/,no_result,"Вендор технологии не назван; приведённые цифры относятся к объёму вылова, а не к результатам работы AI-системы"
cand-022,неизвестно,неизвестно,https://fish-info.ru/news/ii-v-rybnom-khozyaystve-ot-prognozov-vylova-do-dokumentooborota/,no_implementation,"Обзорная статья о перспективах ИИ в рыбном хозяйстве без единого внедрения у коммерческой компании с результатом"
