candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
cand-001,"ЭкоНива, Русагро, ГАП Ресурс, ГК Степь, Агрокомплекс им. Ткачева и др.",Cognitive Pilot,https://cognitivepilot.com/cognitive-news/blog/sberbank-i-cognitive-pilot-zapuskayut-umnyj-kombajn-na-polyah-vedushhih-otechestvennyh-agrokompleksov-rossii/,"Автопилот Cognitive Agro Pilot на комбайнах, сезон 2020",crop-farming,field-operations,included,"Сильный кейс: два независимых источника, реальные сезонные цифры"
cand-002,"ЭкоНива, Русагро и др.",Cognitive Pilot,https://www.cnews.ru/news/line/2020-11-03_kombajny_s_iskusstvennym,Независимое медиа-подтверждение сезонных результатов Cognitive Agro Pilot,crop-farming,field-operations,included,"Второй источник для кейса cand-001, объединено в один кейс"
cand-003,ПАО Русагро,Инфосистемы Джет,https://jet.su/czentr-ekspertizy/all/kak-tekhnologii-ii-pomogayut-planirovat-polevye-raboty-v-agropromyshlennom-kholdinge-rusagro/,ML-система планирования уборки урожая на 6000 полей,crop-farming,forecasting,included,"Назван клиент и внедрение, но без метрик — грейд C"
cand-004,ПАО Русагро,Инфосистемы Джет,https://www.vedomosti.ru/press_releases/2022/10/13/iskusstvennii-intellekt-pomogaet-agroholdingu-rusagro-planirovat-uborku-urozhaya,Пресс-релиз о том же проекте Русагро,crop-farming,forecasting,duplicate,"Дублирует cand-003, текст не извлёкся (страница отдала изображение)"
cand-005,ГК Дамате,в основном in-house,https://www.acdamate.com/press-center/press/tsifra-i-iskusstvennyy-intellekt-vyshli-na-polya/,"Видеомониторинг и машинное зрение на 500+ объектах, цифровой склад +130 млн руб/год",food-processing,quality-control,included,Первичный источник клиента с масштабом и деталями
cand-006,ГК Дамате,в основном in-house,https://www.techinsider.ru/technologies/500942-iskusstvennyy-intellekt-dlya-indeyki/,"Экскурсия по заводу Дамате: видеонаблюдение, биометрия, прослеживаемость партий",food-processing,quality-control,included,"Независимое медиа-подтверждение архитектуры видеомониторинга, объединено с cand-005"
cand-007,ГК Дамате,неизвестно,https://www.agroinvestor.ru/animal/article/33325-konets-ruchnogo-upravleniya-kakie-tsifrovye-tekhnologii-vnedryayutsya-na-zhivotnovodcheskikh-predpri/,Система Директива.Птичники — +1-1.5 п.п. сохранности птицы,livestock,quality-control,included,"Метрика для кейса cand-005/006, объединено в один кейс о видеомониторинге Дамате"
cand-008,ООО Русмолко,SCR,https://www.agroinvestor.ru/animal/article/33325-konets-ruchnogo-upravleniya-kakie-tsifrovye-tekhnologii-vnedryayutsya-na-zhivotnovodcheskikh-predpri/,"Мониторинг активности и жвачки SCR: осеменение 32%->37%, выбытие 7%->3.5%",livestock,predictive-maintenance,included,"Конкретные измеримые метрики, единственный источник — грейд B"
cand-009,АО Агросила,неизвестно,https://www.agroinvestor.ru/animal/article/33325-konets-ruchnogo-upravleniya-kakie-tsifrovye-tekhnologii-vnedryayutsya-na-zhivotnovodcheskikh-predpri/,Dairy production analytic — надой 5296 кг (+349 кг к 2018),livestock,forecasting,included,"Конкретная метрика надоя, единственный источник — грейд B"
cand-010,Краснодарское учебное хозяйство,разные (Lely/DeLaval/GEA роботы),https://www.agroinvestor.ru/animal/article/33325-konets-ruchnogo-upravleniya-kakie-tsifrovye-tekhnologii-vnedryayutsya-na-zhivotnovodcheskikh-predpri/,"Модернизация с 2012 г., надой 6612->12500 кг, мастит 3%->1%",livestock,predictive-maintenance,rejected,"not_ai — общая модернизация/роботизация, конкретный AI/ML-механизм не описан"
cand-011,ГК Черкизово,неизвестно,https://www.agroinvestor.ru/animal/article/33325-konets-ruchnogo-upravleniya-kakie-tsifrovye-tekhnologii-vnedryayutsya-na-zhivotnovodcheskikh-predpri/,"Роботизированный завод колбас в Кашире: 170 vs 600-700 человек, +15% производительности",food-processing,quality-control,rejected,"not_ai — в основном робототехника и онлайн-учёт производительности, AI/ML-компонент не подтверждён"
cand-012,ГК Черкизово,неизвестно,https://agrotrend.ru/news/37866-cherkizovo-nazvala-prioritety-v-tsifrovizatsii/,"Черкизово использует машинное зрение >7 лет, геномика/секвенирование",livestock,quality-control,rejected,"unverifiable — упоминание общее, конкретной системы, масштаба и результата не найдено"
cand-013,ГК Прогресс Агро,неизвестно (в основном собственная разработка),https://expertsouth.ru/articles/tsifroviziruy-chtoby-zhit-kak-tekhnologii-menyayut-selkhozproizvodstvo-na-yuge/,"Точное земледелие: дифференцированное внесение удобрений, точный сев +15-20% урожайности, автопилот",crop-farming,field-operations,included,"Интервью CEO — первичный источник, конкретная цифра"
cand-014,АО Агрохолдинг Степь,неизвестно (собственная разработка),https://expertsouth.ru/articles/tsifroviziruy-chtoby-zhit-kak-tekhnologii-menyayut-selkhozproizvodstvo-na-yuge/,"Цифровые двойники полей, ИИ-планирование посевных площадей",crop-farming,optimization,included,"Интервью CEO + TAdviser, но без метрик — грейд B"
cand-015,АО Агрохолдинг Степь,неизвестно,https://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:%D0%A1%D1%82%D0%B5%D0%BF%D1%8C,"_%D0%90%D0%9E_%D0%B0%D0%B3%D1%80%D0%BE%D1%85%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3, Тракторы с умными камерами (2025), создание Центра фудтех-разработок (2026)",crop-farming,field-operations,included,"Второй источник для кейса cand-014, объединено"
cand-016,АО Агрохолдинг Степь,неизвестно,https://www.interfax.ru/business/1104379,ИИ-подразделение Степи разработало программу синхронизации данных стада с ГИС,livestock,document-processing,rejected,"no_result — отдельная новая инициатива, без результатов, чтобы не смешивать два разных проекта Степи в одном кейсе"
cand-017,неназванные агрокомплексы,ФосАгро,https://www.timacad.ru/announcements/timiriazevka-i-fosagro-zapuskaiut-flagmanskuiu-programmu-dpo-po-tsifrovizatsii-apk,Тимирязевка и ФосАгро запускают программу ДПО по цифровизации АПК,agri-inputs,training-onboarding,rejected,"announcement_only — образовательная программа, не внедрение AI-решения у клиента"
cand-018,неизвестно,ExactFarming,https://exactfarming.com/allfunctionsef,Платформа цифрового сельского хозяйства ExactFarming,crop-farming,field-operations,rejected,no_client — продуктовая страница вендора без названного клиента и результата
cand-019,неизвестно,Геомир,https://www.avgust.com/services/newspaper/programma_exactfarming/,Упоминание ExactFarming/Геомир в контексте точного земледелия,crop-farming,field-operations,rejected,no_client — конкретного клиента и кейса с результатом не найдено
cand-020,ИНАРКТИКА,неизвестно,https://inarctica.com/,Мониторинг здоровья рыбы с помощью ИИ (упоминание из вторичных источников),aquaculture,predictive-maintenance,rejected,unverifiable — собственный сайт компании не содержит упоминаний AI/CV-систем при проверке
cand-021,Росрыболовство,неизвестно (возможно Спутникс/ВНИРО),https://digirpt.com/2026/08/11/pochemu-lososja-stalo-menshe-kak-bpla-i-ii-schitajut-rybu-na-dalnem-vostoke/,БПЛА и компьютерное зрение для подсчёта лосося на Дальнем Востоке,fisheries,forecasting,rejected,"no_result — вендор технологии не назван, цифры относятся к уловам, а не к качеству работы AI-системы"
cand-022,неизвестно,неизвестно,https://fish-info.ru/news/ii-v-rybnom-khozyaystve-ot-prognozov-vylova-do-dokumentooborota/,"Обзор ИИ в рыбном хозяйстве РФ: Росрыболовство, ВНИРО, СПб ФИЦ РАН, ТОИ ДВО РАН, Спутникс",fisheries,forecasting,rejected,no_implementation — обзорная статья без единого внедрения у коммерческой компании с результатом
cand-023,Русская рыбопромышленная компания (РРПК),неизвестно,https://russianfishery.ru/customers/production/,"Производство рыбы РРПК, сортировка по видовому составу на конвейере",fisheries,cv-inspection,rejected,"source_unavailable — страница вернула 403, конкретные факты об AI/CV не подтверждены"
cand-024,неизвестно,Prospera (Valmont),https://itrade.gov.il/usa/prospera-technologies-revolutionizing-agriculture-with-ai-and-machine-learning/,"Prospera AI-мониторинг посевов, партнёрство с Valley Irrigation",crop-farming,field-operations,rejected,no_client — описание технологии вендора без названного клиента и измеримого результата
cand-025,неизвестно,Connecterra,https://www.openpr.com/news/3778102/artificial-intelligence-in-smart-farming-and-agriculture,"Connecterra AI для животноводства, партнёрство с Lely",livestock,predictive-maintenance,rejected,no_client — общее описание продукта/партнёрства без конкретного клиента
cand-026,John Deere клиенты (агрегированно),John Deere,https://www.oklahomafarmreport.com/okfr/2025/11/04/john-deere-customers-use-see-spray-technology-across-five-million-acres-in-2025/,"See & Spray: 5 млн акров в 2025 г., экономия гербицидов ~50%",crop-farming,field-operations,included,Пресс-релиз John Deere + независимое академическое исследование
cand-027,неизвестно,John Deere,https://aaes.uada.edu/news/see-and-spray-research/,Независимое 3-летнее исследование Университета Арканзаса по See & Spray,crop-farming,field-operations,included,"Второй источник для кейса cand-026, объединено"
cand-028,клиенты Taranis (агрегированно),Taranis,https://cloud.google.com/customers/taranis,"Taranis: ИИ-платформа обнаружения болезней растений на Google Cloud, 20+ млн акров",crop-farming,forecasting,included,"Единственный источник — платформа, грейд B"
cand-029,неизвестно,SeeTree,https://blogs.nvidia.com/blog/agtech-industry-taps-nvidia-gpus-to-protect-the-planet/,SeeTree — GPU-платформа аналитики деревьев против цитрусового позеленения,crop-farming,cv-inspection,rejected,no_client — вендорский блог NVIDIA без названного клиента-фермера
