url,publisher,source_type,accessed,status,used_for
https://www.speechpro.ru/media/news/megafon-poluchil-nagradu-cx-awards-za-proekt-vnedreniya-rechevoj-analitiki-crt,ЦРТ (speechpro.ru),vendor,2026-08-27,ok,"Кейс ru-tl-megafon-speech-crt-01 — проблема, решение, метрики"
https://vc.ru/id553833/154322-vkalyvayut-roboty-kak-rechevaya-analitika-uluchshaet-rabotu-koll-centrov-telekom-kompanii,ЦРТ на vc.ru,vendor,2026-08-27,ok,"Кейс ru-tl-megafon-speech-crt-01 — технические детали Smart Logger"
https://autofaq.ai/case/rostelecom,AutoFAQ,vendor,2026-08-27,ok,"Кейс ru-tl-rostelecom-cdt-autofaq-01 — проблема, решение, метрики"
https://blog.rt.ru/b2c/kak-golosovoy-bot-rostelekoma-rabotaet-s-obrashcheniyami-abonentov.htm,Ростелеком (blog.rt.ru),client,2026-08-27,ok,"Кейс ru-tl-rostelecom-voicebot-01 — описание работы бота"
https://www.sostav.ru/publication/kejs-kak-dom-ru-poluchil-prirost-zayavok-i-konversii-blagodarya-mashinnomu-obucheniyu-30936.html,Sostav,media,2026-08-27,ok,"Кейс ru-tl-domru-ml-marketing-01 — проблема, решение, метрики"
https://ria.ru/20260319/bilayn-2081653989.html,РИА Новости,media,2026-08-27,ok,"Кандидат tl-cand-08 — отклонён, использован для контекста о платформе ИИ-агентов Билайн"
https://www.ixbt.com/news/2026/08/10/427361-odnoi-knopkoi-bilain-naucil-ii-prinimat-reklamnye-zvonki-vmesto-abonentov.html,iXBT,media,2026-08-27,ok,"Кандидат tl-cand-09 — отклонён (нет измеримого результата)"
https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82:Tele2_%D0%93%D0%BE%D0%BB%D0%BE%D1%81%D0%BE%D0%B2%D0%BE%D0%B9_%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82,TAdviser,media,2026-08-27,blocked,"Страница вернула 404, не использована"
https://www.ibm.com/case-studies/vodafone-tobi,IBM,vendor,2026-08-27,ok,"Кейс gb-tl-vodafone-ibm-tobi-testing-01 — открыта через fetch-page.mjs после 403 у WebFetch"
https://claude.com/customers/skt,Anthropic,platform,2026-08-27,ok,"Кейс kr-tl-sktelecom-claude-01 — метрики качества ответов"
https://www.genesys.com/en-gb/customer-stories/vodafone,Genesys,vendor,2026-08-27,ok,"Кейс de-tl-vodafone-genesys-tobi-01 — открыта через fetch-page.mjs после 403 у WebFetch"
