candidate_id,client,vendor,url,reason_code,reason
c15,ИАТЭ НИЯУ МИФИ,Четвёртый Рим,https://4rome.ru/projects/nash-chat-bot-privel-chetvert-ot-vsego-nabora-studentov/,not_ai,"Проверка через WebFetch показала, что это традиционный сценарный чат-бот ВКонтакте без нейросетей или ИИ"
c16,Cosmos Hotel Group,"Сбер, SberDevices",https://www.eastrussia.ru/news/nomera-v-otelyakh-cosmos-budut-slushat-golosa-sber-sberdevices-i-set-oteley-dogovorilis-ob-umnom-bud/,announcement_only,"Стороны только подписали соглашение о совместной разработке; часть решений тестируется в R&D-лаборатории, результатов внедрения нет"
c17,Cosmos Hotel Group,Холдинг Т1,https://cosmosgroup.ru/about/press/cosmos-hotel-group-i-t1-stali-pobeditelami-konkursa-1sproekt-goda,not_ai,"Проект — переход на «1С:Управление Холдингом» (централизация финансов), элементов ИИ в описании нет"
c18,Яндекс Путешествия,Яндекс (in-house),https://travel.yandex.ru/journal/kak-iskusstvennyj-intellekt-oblegchit-planirovanie-puteshestvij/,source_unavailable,"Страница вернула CAPTCHA-заглушку и через WebFetch, и через fetch-page.mjs — содержание не подтверждено"
c19,"Островок / Яндекс Путешествия / Туту.ру",Realweb (исследование),https://www.cnews.ru/news/line/2026-08-12_ii_stanovitsya_kanalom_prodazh,not_ai,"Материал об упоминаемости брендов в ответах сторонних нейросетей (ChatGPT и др.), а не о внедрении ИИ самими компаниями"
c20,(не назван),NAUMEN,https://www.naumen.ru/events/news/4315/,no_client,"Продуктовый анонс ИИ-классификатора звонков без названного заказчика"
c21,(разные компании),Doczilla,https://doczilla.pro/kak_yuristy_ispolzuyut_ai_v_2024,no_client,"Статья описывает общие сценарии применения ИИ юристами без названных клиентов и измеримых результатов"
c22,НИУ ВШЭ,ВШЭ (in-house),https://stratpro.hse.ru/human-success/news/959419313.html,announcement_only,"Исследовательский инструмент только разрабатывается; апробация по 'современным стандартам доказательного подхода' ещё не проведена"
c23,Ренессанс Банк,Skillaz,https://skillaz.ru/cases/renessans-bank-optimiziroval-i-avtomatiziroval-processy-podbora,out_of_scope,"Клиент — банк (finance-insurance), отрасль вне направления этого агента (education/professional-services/public-sector/hospitality/technology)"
c24,Группа «Черкизово»,Skillaz,https://ufa.hh.ru/article/uvyelichili-kolichyestvo-zakrytykh-vakansiy-kyeys-chyerkizovo-i-Skillaz,out_of_scope,"Клиент — агрохолдинг (agriculture-food), отрасль вне направления этого агента"
c25,"Крупная FMCG-сеть (аноним)",hh.ru,https://habr.com/ru/companies/bothub/articles/971014/,out_of_scope,"Клиент — ритейл/FMCG (retail-ecommerce) и к тому же анонимен; отрасль вне направления этого агента"
c26,Евраз,ПравоТех,https://pravo.ru/company_news/258472/,out_of_scope,"Клиент — металлургическая компания (manufacturing/mining), отрасль вне направления этого агента"
c27,Ростелеком,собственная разработка,https://pravo.ru/company_news/258472/,out_of_scope,"Клиент — телеком-оператор (telecom), отрасль вне направления этого агента"
c28,ФНС России,Puzzle RPA,,unverifiable,"Первичный источник о проекте на 120 000+ сотрудников не открыт в рамках бюджета запросов; неясно, идёт ли речь именно об ИИ или о классическом RPA"
c29,ФНС России,ФНС (in-house),https://www.tadviser.ru/index.php/Статья:Цифровизация_в_Федеральной_налоговой_службе_(ФНС),no_result,"Сводная многолетняя хроника цифровизации ФНС; выделить измеримый эффект одного конкретного ИИ-решения без нарушения периметра цифры (совокупный эффект по разным системам и годам) не удалось"
c30,"Разные страны",govnet.co.uk,https://blog.govnet.co.uk/technology/ai-in-government-case-studies,unverifiable,"Блог-агрегатор без ссылок на первичные источники по каждому пункту; цифры (например, '20% снижение преступности') не поддаются проверке в рамках сессии"
c31,HeadHunter (hh.ru),hh.ru (in-house),,unverifiable,"Собственная ML-система ранжирования вакансий hh.ru упомянута только в сводке поиска; статью с деталями и цифрами открыть не удалось в рамках бюджета запросов"
c32,Estonian Unemployment Insurance Fund,Правительство Эстонии,https://socialprotectionai.org/use-case/EST-001,source_unavailable,"Страница вернула HTTP 401 при WebFetch, содержание не подтверждено"
c33,"Разные юрфирмы",Casebook/PravoTech,https://casebook.ru/,no_client,"Продуктовая страница вендора без конкретного клиента и цифр — использована только как контекст к кейсу c08, не как отдельный кейс"
ee-pb-burokratt-01,"Правительство Эстонии (Министерство экономики и коммуникаций, MKM)",,https://interoperable-europe.ec.europa.eu/collection/open-source-observatory-osor/document/digital-public-services-based-open-source-case-study-burokratt,no_result,"Исключён при финальном отборе: Grade C с минимальной доказательной базой (единственный источник, нет или почти нет количественных метрик, sales relevance 2). Лимит Grade C — максимум 30 по п.17 ТЗ."
ru-pb-fns-foreign-accounts-01,Федеральная налоговая служба (ФНС России),,https://vc.ru/legal/2809497-fns-i-ii-kak-nalogovaya-kontroliruet-zarubezhnye-scheta,no_result,"Исключён при финальном отборе: Grade C с минимальной доказательной базой (единственный источник, нет или почти нет количественных метрик, sales relevance 2). Лимит Grade C — максимум 30 по п.17 ТЗ."
