url,publisher,source_type,accessed,status,used_for
https://techcrunch.com/2026/08/26/viral-ai-startup-instinct-has-raised-350-million-at-a-2-5-billion-valuation/,TechCrunch,media,2026-09-03,ok,"Instinct: подтверждение раунда, продукт, вирусность (открыт WebFetch)"
https://techcrunch.com/2026/08/11/general-catalyst-leads-1-1b-round-into-2-month-old-river-ai/,TechCrunch,media,2026-09-03,ok,"River AI: подтверждение раунда, продукт, основатель (открыт WebFetch)"
https://thenextweb.com/news/walden-robotics-300-million-toyota-humanoid,The Next Web,media,2026-09-03,ok,"Walden: раунд, деплой на заводе Toyota, W1-свидетельство (открыт WebFetch)"
https://techcrunch.com/2026/08/06/naive-raises-28-5m-to-automate-the-grunt-work-of-setting-up-and-running-a-company/,TechCrunch,media,2026-09-03,ok,"Naïve: раунд, продукт, трекшен (открыт WebFetch)"
https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,TechCrunch,media,2026-09-03,ok,"Prime Intellect: раунд, ARR, клиенты (открыт WebFetch)"
https://techcrunch.com/2026/08/26/runable-hits-21m-to-bet-ai-agents-can-go-from-building-businesses-to-growing-them/,TechCrunch,media,2026-09-03,ok,"Runable: проверка — оказалась Индия, отклонён (открыт WebFetch)"
https://fortune.com/2026/06/03/apoha-36-million-series-a-funding-round-exit-stealth-wave-form-ai-liquid-intelligence/,Fortune,media,2026-09-03,ok,"Apoha: проверка — Лондон/SF, раунд размыт, отклонён (открыт WebFetch)"
https://qz.com/instinct-ai-assistant-series-b-funding-valuation-082726,Quartz,media,2026-09-03,partial,Instinct: второй источник раунда (заголовок и сниппет в выдаче)
https://techfundingnews.com/noah-shinns-instinct-goes-from-100m-to-2-5b-in-weeks-23-year-olds-ai-assistant-just-raised-250m-series-b/,Tech Funding News,media,2026-09-03,partial,Instinct: W4 — скачок оценки $100M→$2.5B (заголовок в выдаче)
https://www.citybiz.co/article/895693/instinct-maker-of-personal-ai-assistant-raises-250m-at-2-5b-valuation/,citybiz,media,2026-09-03,partial,Instinct: эхо раунда (в выдаче)
https://www.kucoin.com/news/flash/ai-assistant-startup-instinct-raises-250m-in-b-round-valuation-hits-2-5b,KuCoin News,aggregator,2026-09-03,partial,Instinct: эхо раунда (в выдаче)
https://www.businesswire.com/news/home/20260811845258/en/River-AI-Raises-$1.1B-Led-by-General-Catalyst-and-AMP-PBC-to-Build-Open-AI-Stack,Business Wire,company,2026-09-03,partial,River: пресс-релиз компании — подтверждение раунда (в выдаче)
https://qz.com/river-ai-fundraise-enterprise-custom-ai-tools-081126,Quartz,media,2026-09-03,partial,River: второй медиа-источник (в выдаче)
https://thenextweb.com/news/river-ai-1-1-billion-babuschkin-general-catalyst-open-weights,The Next Web,media,2026-09-03,partial,River: эхо раунда (в выдаче)
https://techstartups.com/2026/08/11/former-xai-co-founder-igor-babuschkins-river-ai-raises-1-1-billion-to-build-your-own-personal-ai/,Tech Startups,media,2026-09-03,partial,River: эхо раунда (в выдаче)
https://www.bloomberg.com/news/articles/2026-07-15/toyota-backed-robotics-startup-walden-launches-with-1-1-billion-valuation,Bloomberg,media,2026-09-03,partial,"Walden: подтверждение оценки $1.1B (заголовок в выдаче, статья за пейволлом — не открывалась)"
https://www.businesswire.com/news/home/20260715089377/en/Walden-Robotics-Launches-with-$300-Million-to-Put-General-Purpose-Robots-to-Work-Today,Business Wire,company,2026-09-03,partial,Walden: пресс-релиз компании (в выдаче)
https://www.bostonglobe.com/2026/07/15/business/walden-robotics-cambridge-toyota-humanoid/,Boston Globe,media,2026-09-03,partial,Walden: локальное медиа-эхо (в выдаче)
https://www.waldenrobotics.com/news/walden-robotics-launches-from-stealth,Walden Robotics,company,2026-09-03,partial,Walden: пост компании (в выдаче)
https://www.kucoin.com/news/flash/walden-robotics-completes-300m-seed-round-valued-at-11b,KuCoin News,aggregator,2026-09-03,partial,Walden: эхо с ошибочной оценкой $11B — НЕ использован для цифр
https://siliconangle.com/2026/08/06/naive-bags-28-5m-funding-automate-creation-day-day-running-almost-business/,SiliconANGLE,media,2026-09-03,partial,"Naïve: второй медиа-источник, W5-свидетельство (в выдаче)"
https://www.finsmes.com/2026/08/naive-raises-28-5m-in-series-a-funding.html,FinSMEs,media,2026-09-03,partial,Naïve: эхо раунда (в выдаче)
https://cryptobriefing.com/prime-intellect-130m-series-a-billion-valuation/,Crypto Briefing,media,2026-09-03,partial,Prime Intellect: второй источник раунда/оценки (в выдаче)
https://radical.vc/portfolio/prime-intellect/,Radical Ventures,investor,2026-09-03,partial,Prime Intellect: страница лид-инвестора (в выдаче)
https://techcrunch.com/2026/08/20/ai-data-startup-micro1-reaches-500m-gross-run-rate-amid-ai-training-boom/,TechCrunch,media,2026-09-03,partial,Micro1: трекшен без нового раунда — основание для stale_round (в выдаче)
https://sacra.com/c/micro1/,Sacra,analyst,2026-09-03,partial,Micro1: история раундов — Series A сентябрь 2025 (в выдаче)
https://techcrunch.com/2026/03/10/ai-network-startup-eridu-emerges-from-stealth-with-hefty-200m-series-a/,TechCrunch,media,2026-09-03,partial,"Eridu: раунд подтверждён, но отклонён как not_ai (в выдаче)"
https://eridu.ai/pr/eridu-emerges-from-stealth-with-over-200m-in-funding/,Eridu,company,2026-09-03,partial,Eridu: пресс-релиз (в выдаче)
https://www.networkworld.com/article/4143119/eridu-exits-stealth-with-200m-to-rebuild-ai-networking.html,Network World,media,2026-09-03,partial,Eridu: медиа-эхо (в выдаче)
https://techcrunch.com/2026/07/22/glow-emerges-from-stealth-at-1-2b-valuation-to-challenge-endpoint-security-in-the-ai-era/,TechCrunch,media,2026-09-03,partial,"Glow: кандидат, отклонён no_wow (в выдаче)"
https://techcrunch.com/2026/06/18/the-11-standout-startups-from-ycs-demo-day-according-to-vcs/,TechCrunch,media,2026-09-03,partial,YC Demo Day: источник кандидатов Ploy/Fundamental (в выдаче)
https://alleywatch.com/2026/08/global-startup-funding-top-largest-july-2026-vc/,AlleyWatch,aggregator,2026-09-03,partial,Дайджест июля: кандидаты Oak/Walden (в выдаче)
https://techstartups.com/2026/07/06/venture-capital-startup-funding-roundup-july-6-2026/,Tech Startups,aggregator,2026-09-03,partial,Дайджест: кандидат Radical Numerics (в выдаче)
https://techstartups.com/2026/07/01/venture-capital-startup-funding-roundup-july-1-2026/,Tech Startups,aggregator,2026-09-03,partial,Дайджест: кандидат Ellis (в выдаче)
https://techstartups.com/2026/08/20/twin1-ai-emerges-from-stealth-with-20m-in-funding-to-give-every-professional-an-ai-powered-digital-twin/,Tech Startups,media,2026-09-03,partial,"Twin1 AI: кандидат, отклонён (в выдаче)"
