candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
rt-001,X5 Group,собственная разработка,https://rb.ru/columns/demand-forecasting-x5/,Система прогноза спроса и автозаказа для магазинов X5,retail-ecommerce/grocery-retail,forecasting,included,"Named client, крупный масштаб (16000+ магазинов), но без измеримых цифр результата"
rt-002,X5 Group,не назван,https://vc.ru/marketplace/419931-vsevidyashee-oko-v-riteile-keis-h5-group,"Видеоаналитика и CV в торговом зале X5 (очереди, весы, биометрия)",retail-ecommerce/grocery-retail,cv-inspection,included,Несколько измеримых метрик по разным сценариям
rt-003,X5 Group,не назван,https://generation-ai.ru/cases/x5-group-i-analitika,Генеративный ИИ Jay Copilot для аналитики данных в X5,retail-ecommerce/grocery-retail,knowledge-management,rejected,"source_unavailable — страница не открывалась через WebFetch, вторичный агрегатор"
rt-004,Магнит,не назван,https://habr.com/ru/companies/magnit/articles/825380/,Исследование касс самообслуживания в Магните,retail-ecommerce/grocery-retail,cv-inspection,duplicate,Дублирует тему умных весов Магнита; отдельная статья не открывалась
rt-005,Магнит,не назван,https://www.cnews.ru/news/line/2025-11-26_magnit_protestiruet_umnye,Умные весы с ИИ-распознаванием на кассах самообслуживания Магнит,retail-ecommerce/grocery-retail,cv-inspection,included,"Чёткие измеримые цифры (98% точность, 15с->5с)"
rt-006,Магнит,не назван,https://new-retail.ru/tehnologii/nevidimyy_sotrudnik_kak_iskusstvennyy_intellekt_beret_pod_kontrol_polki_kassy_i_grafiki/,Расчёт оптимальной численности персонала магазинов Магнит,retail-ecommerce/grocery-retail,scheduling-dispatching,included,Есть измеренная (1.2%) и прогнозная (>1 млрд руб) цифры
rt-007,Магнит,не назван,https://shoppers.media/news/28310_magnit-nacal-primeniat-neirotexnologii-dlia-analiza-raboty-kass-samoobsluzivaniia,Анализ эмоций покупателей на кассах самообслуживания (2021),retail-ecommerce/grocery-retail,cv-inspection,rejected,no_result — старый тест 2021 года без опубликованных результатов
rt-008,Магнит,не назван,new-retail.ru (агрегатор),Обработка отзывов клиентов моделью ИИ (рост среднего чека),retail-ecommerce/grocery-retail,marketing,rejected,"no_result — метрика указана расплывчато («существенный рост»), без конкретной цифры"
rt-009,Магнит,не назван,new-retail.ru (агрегатор),ML-модель для анализа тендерных предложений поставщиков (закупки),retail-ecommerce/grocery-retail,procurement-tenders,rejected,no_result — упоминание без опубликованного результата пилота
rt-010,Wildberries,собственная LLM,https://www.cnews.ru/news/line/2026-06-04_wildberries_dobavit_ii-assistenta,ИИ-ассистент поиска на естественном языке,retail-ecommerce/marketplaces,recommendations-search,included,Объединён в один кейс с «Умным сравнением» и кейсом Иваново
