candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
ru-hc-celsus-mammography-01,"Система здравоохранения Москвы (в рамках городского эксперимента) и региональные пилоты в Республике Дагестан, Брянской и Тамбовской областях",Celsus (ООО «Медицинские скрининг системы»),https://celsus.ai/blog/sczenarii-skrining/,Компьютерное зрение для анализа маммограмм в скрининге рака груди,healthcare,clinical-workflow,included,"evidence B, sales_relevance 4"
ru-hc-botkinai-oncodispanser-01,Нижегородский областной клинический онкологический диспансер,Botkin.AI,https://sk.ru/news/botkinai-itogi-2021/,Компьютерное зрение Botkin.AI для поиска узловых образований на КТ грудной клетки,healthcare,clinical-workflow,included,"evidence A, sales_relevance 4"
ru-hc-sberzdorovie-gigachat-01,СберЗдоровье,"AIRI; СберМедИИ",https://www.cnews.ru/news/line/2025-07-31_meditsinskij_ii-pomoshchnik,ИИ-помощник на базе GigaChat для сбора анамнеза и подсказки диагноза,healthcare,clinical-workflow,included,"evidence B, sales_relevance 4"
ru-hc-slsoft-medsi-voice-01,МЕДСИ,SL Soft,https://slsoft.ru/cases/golosovoy-ii-agent-dlya-medsi/,Голосовой ИИ-агент контакт-центра для сети клиник МЕДСИ,healthcare,customer-support,included,"evidence B, sales_relevance 4"
ru-hc-mtt-alfacenter-voice-01,Сеть многопрофильных клиник «Альфа-Центр Здоровья»,МТТ (МТС Exolve),https://vc.ru/exolve/406795-golosovoi-pomoshnik-voicebox-ot-mtt-pomozhet-seti-klinik-alfa-centr-zdorovya,Голосовой робот VoiceBox для снижения неявок пациентов,healthcare,scheduling-dispatching,included,"evidence B, sales_relevance 3"
ru-hc-robovoice-gemotest-voice-01,Гемотест,SL Soft (Robovoice),https://robo-voice.ru/case_bot_dlya_gemotest/,Голосовой бот Robovoice для контакт-центра лабораторной сети «Гемотест»,healthcare,customer-support,included,"evidence B, sales_relevance 3"
ru-hc-crt-voice2med-01,Центр диагностики и телемедицины (Москва),Группа компаний ЦРТ,https://www.speechpro.ru/media/news/11-11-2020,Voice2Med — голосовой ввод медицинских протоколов для врачей лучевой диагностики,healthcare,medical-documentation,included,"evidence B, sales_relevance 3"
ru-hc-mia-smclinic-voice-01,СМ-Клиника,ООО «Робот Мия»,https://robotmia.ru/blog/detail/sm_clinic,Голосовой робот «Мия» на первой линии контакт-центра СМ-Клиники,healthcare,customer-support,included,"evidence B, sales_relevance 4"
se-hc-lunit-capio-01,"Capio S:t Göran Hospital (Стокгольм, Швеция)",Lunit,https://www.lunit.io/en/media-hub/real-world-validation-lunit-ai-proven-successful-in-1-year-breast-cancer-screening-deployment/,ИИ как независимый второй читатель маммограмм в госпитале Capio S:t Göran,healthcare,clinical-workflow,included,"evidence A, sales_relevance 5"
il-hc-aidoc-sheba-01,Sheba Medical Center (Израиль),Aidoc,https://sheba-global.com/new-research-from-sheba-medical-center-demonstrates-success-of-aidoc-algorithm-in-early-detection-of-critical-brain-hemorrhages/,ИИ-триаж внутричерепных кровоизлияний в приёмном покое Sheba Medical Center,healthcare,clinical-workflow,included,"evidence A, sales_relevance 5"
us-hc-vizai-validate-01,Сеть из 166 медицинских учреждений в 17 штатах США (партнёрство TeleSpecialists и Viz.ai),Viz.ai,https://www.viz.ai/news/large-real-world-multi-center-study-demonstrates-viz-ai-platform-saves-critical-minutes-in-stroke-care,Платформа Viz.ai для ускорения оповещения о крупнососудистой окклюзии при инсульте,healthcare,scheduling-dispatching,included,"evidence A, sales_relevance 5"
ke-hc-pendahealth-openai-01,Penda Health,OpenAI,https://www.digitalhealthnews.com/ai-copilot-reduces-clinical-errors-in-40-000-patient-study-at-penda-health,AI Consult — клинический ко-пилот на GPT-4o в сети клиник Penda Health,healthcare,clinical-workflow,included,"evidence A, sales_relevance 5"
us-hc-nuance-dax-northwestern-01,Northwestern Medicine,Microsoft (Nuance),https://blogs.microsoft.com/blog/2024/09/26/a-year-of-dax-copilot-healthcare-innovation-that-refocuses-on-the-clinician-patient-connection/,DAX Copilot сокращает время документирования и «pajama time» в Northwestern Medicine,healthcare,medical-documentation,included,"evidence A, sales_relevance 5"
us-hc-kaiserpermanente-scribe-01,The Permanente Medical Group (TPMG) / Kaiser Permanente,,https://permanente.org/quality-assurance-informs-large-scale-use-of-ambient-ai-clinical-documentation/,Амбиентный ИИ-скрайб в масштабе The Permanente Medical Group,healthcare,medical-documentation,included,"evidence A, sales_relevance 5"
in-hc-manipal-googlecloud-01,Manipal Hospitals,Google Cloud Consulting,https://cloud.google.com/blog/topics/customers/how-manipal-hospitals-sped-up-nurse-handoffs-across-37-hospitals,Генеративный ИИ Gemini ускоряет пересменку медсестёр в сети Manipal Hospitals,healthcare,medical-documentation,included,"evidence A, sales_relevance 5"
ch-hc-novartis-azure-01,Novartis,Microsoft,https://news.microsoft.com/source/features/digital-transformation/novartis-empowers-scientists-ai-speed-discovery-development-breakthrough-medicines/,ИИ-система поддержки принятия решений для дизайна молекул в Novartis,healthcare,research-development,included,"evidence B, sales_relevance 3"
