candidate_id,client,vendor,url,reason_code,reason
c17,ВТБ,unknown,,no_implementation,"Не найдено конкретного публичного кейса ИИ для анализа договоров именно в ВТБ, только общие рассуждения о рынке"
c18,неизвестно,СКБ Контур,https://kontur.ru/diadoc/features/sozdanie-i-otpravka,grade_d_marketing,"Продуктовая страница возможностей Диадок без названного клиента и без описания конкретного внедрения"
c19,"Impact (агентство/компания)",ImpactMyBiz,https://www.impactmybiz.com/case-study/github-copilot-case-study/,unverifiable,"Заявленные проценты роста (23% эффективности, ROI 4800%) не удалось перепроверить, страница не открывалась через WebFetch в рамках сессии"
c20,Chronograph,Anthropic,https://claude.com/customers/chronograph,no_result,"Описана только проблема разрозненных знаний и выбор Claude Enterprise, измеримых результатов в найденном тексте нет"
c21,Jamf,Anthropic,https://claude.com/customers/jamf,no_result,"Общее описание применения Claude Enterprise и Bedrock без измеримых показателей"
c22,TRY,Anthropic,https://claude.com/customers/try,no_result,"Общее описание интеграции Claude в процессы без конкретных цифр"
c23,Booking.com,Glean,https://www.glean.com/,no_result,"Заявлено 'первая AI-платформа, принятая всей компанией', но без измеримых показателей эффекта"
c24,Zillow,Glean,https://www.glean.com/,no_result,"Общее описание внедрения Glean без измеримых показателей"
c25,"крупная нефтяная компания (NDA)",ЭЛАР,"https://www.tadviser.ru/index.php/Компания:ЭЛАР_(Электронный_архив,_НПО_Опыт)",unverifiable,"Кейс упомянут в кратком описании компании ЭЛАР без отдельной проверенной через WebFetch страницы с деталями и результатами в рамках бюджета сессии"
c26,Северсталь,unknown,,no_implementation,"Специфического кейса ИИ для юридического департамента Северстали не найдено, только общие обзоры рынка legal AI"
c27,СИБУР,unknown,,no_implementation,"Найдена только общая информация о структуре юридической службы СИБУРа, конкретного кейса ИИ не обнаружено"
c28,Магнит,unknown,,no_implementation,"Специфического кейса ИИ для договоров/юристов Магнита не найдено"
c29,Газпром нефть,unknown,,no_implementation,"На TAdviser не найдено конкретного кейса ИИ именно для документооборота Газпром нефти (только общие проекты ЭДО и ERP без ИИ)"
c30,РЖД,unknown,,no_implementation,"Специфического кейса ИИ для юридических договоров РЖД не найдено"
c31,Норникель,собственная разработка,https://generation-ai.ru/media/ai-v-metallurgii-i-gornoy-dobyche,out_of_scope,"Кейс о генеративном проектировании промышленных зданий относится к design-engineering, а не к процессам направления (document/knowledge/legal/procurement/finance/HR/operations-copilot/software-engineering)"
c32,неизвестный банк,MTS AI,https://www.cnews.ru/news/line/2024-10-16_mts_ai_sozdala_ii-pomoshchnika,no_client,"Продукт представлен для рынка в целом, конкретный банк-клиент не назван и не подтверждён"
