project,owner,mw,mwh,type,status,region,cod_year,source_url,source_date
Campo Arañuelo I-II BESS,Iberdrola,58,120,colocated,operativa (inaugurada 27.05.2026),Extremadura (Cáceres),2026,https://www.iberdrolaespana.com/sala-comunicacion/noticias/inauguracion-mayor-bateria-almacenamiento-energia-espana-campo-aranuelo-caceres,2026-05-27
Oviedo (La Corredoria) standalone,Grenergy (Greenbox),150,600,standalone,en construcción; tolling 10 años; financiación 100 M€ (Santander/SMBC),Asturias,2027,https://grenergy.eu/grenergy-secures-the-first-financing-for-a-stand-alone-battery-energy-storage-project-in-spain-worth-e100-million/,2026-07-22
Escuderos híbrido (200 MW FV + BESS),Grenergy,,680,colocated,tolling financiero 12 años; construcción BESS desde 2S2026,Castilla-La Mancha,2027,https://www.ess-news.com/2026/04/27/grenergy-signs-12-year-tolling-deal-for-spanish-hybrid-project-with-680-mwh-bess/,2026-04-27
ST Palmosilla (Tarifa),Engie (adquirido a Rolwind),200,800,standalone,AAP publicada 1T2026; construcción 2027; subvención FEDER,Andalucía (Cádiz),2028,https://www.elconciso.es/energia/engie-rolwind-proyectos-almacenamiento-bateria-tarifa-alora_0_2006423189.html,2026-05
ST Cerrillo (Álora),Engie (adquirido a Rolwind),78,312,standalone,AAP publicada 4T2025; construcción 2027; subvención FEDER,Andalucía (Málaga),2028,https://www.elconciso.es/energia/engie-rolwind-proyectos-almacenamiento-bateria-tarifa-alora_0_2006423189.html,2026-05
Sinne Energy (mayor ayuda FEDER 2025),Sinne Energy,97,403.43,,"subvención MITECO/FEDER 32,3 M€ (resolución 2025)",n/d,2026,https://elperiodicodelaenergia.com/los-benjumea-iberdrola-y-ric-energy-los-grandes-ganadores-de-las-ayudas-a-las-baterias/,2025
Bolarque BESS (Villalba del Rey),Acciona Energía,20,40,colocated,anunciado; COD fin 2027,Castilla-La Mancha (Cuenca),2027,https://www.pv-magazine.es/2026/08/11/acciona-construira-dos-nuevas-baterias-en-espana-y-tambien-un-centro-de-datos-con-solar/,2026-08-11
El Cuadrón BESS (Hornillos de Cerrato),Acciona Energía,13,26,colocated,anunciado; COD fin 2027,Castilla y León (Palencia),2027,https://www.pv-magazine.es/2026/08/11/acciona-construira-dos-nuevas-baterias-en-espana-y-tambien-un-centro-de-datos-con-solar/,2026-08-11
BESS I Valle Solar,Saeta Yield,92.456,,colocated,AAP+AAC (BOE 1T2026),C. Valenciana,,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
BESS II Valle Solar,Saeta Yield,167,,colocated,AAP+AAC (BOE 1T2026),C. Valenciana,,https://www.pv-magazine.es/2026/04/01/el-boe-publica-en-el-primer-trimestre-18-proyectos-de-almacenamiento-bess-que-suman-1-193-mw/,2026-04-01
