candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
tl-cand-01,"Федеральная сеть дискаунтеров (клиент МТС Exolve)",MTS Exolve,https://exolve.ru/case/robot-exolve-speeds-up-processing-applications/,"Голосовой робот ускорил обработку заявок в 3 раза дешевле операторов",retail-ecommerce,customer-support,rejected,"Клиент — розничная сеть, не относится к телекому/КЦ-аутсорсингу"
tl-cand-02,"Сеть пиццерий (клиент МТС Exolve)",MTS Exolve,https://exolve.ru/case/robot-reduced-costs-communication-for-pizzeria/,"Голосовой робот снизил расходы на коммуникацию на 60%",retail-ecommerce,customer-support,rejected,"Клиент — HoReCa, вне периметра направления телеком"
tl-cand-03,"Федеральный оператор связи (анонимно)",Fromtech,https://www.fromtech.ru/cases/voice-robot/,"Голосовой робот информирует о новом тарифе, 100k звонков/нед, >10% конверсия",telecom,sales,included,"Включён как ru-tl-federal-operator-nbo-voice-01 (грейд C, клиент анонимен)"
tl-cand-04,"Не назван (колл-центр, общий кейс)",Fromtech,https://www.fromtech.ru/cases/call-center/,"Голосовой робот для колл-центра — общий кейс автоматизации звонков",telecom,customer-support,rejected,"Страница не изучалась подробно (бюджет), дублирует тип решения с уже включённым кейсом"
tl-cand-05,МегаФон,ЦРТ (Speech Technology Center),https://www.speechpro.ru/media/news/megafon-poluchil-nagradu-cx-awards-za-proekt-vnedreniya-rechevoj-analitiki-crt,"Речевая аналитика 100% звонков КЦ, снижение нарушений 6%->0.3%, tNPS +10 п.п.",telecom,customer-support,included,"Включён как ru-tl-megafon-speech-crt-01 (грейд A)"
tl-cand-06,"Не назван (общий продукт)",Novofon,https://novofon.com/blog/speech-analytics-cases/,"Общая статья о применении речевой аналитики без конкретного клиента",telecom,customer-support,rejected,"grade_d_marketing — продуктовая статья без названного клиента"
tl-cand-07,"Не назван (общий продукт)",Skorozvon,https://skorozvon.ru/solutions/ai-rechevaya-analitika,"Продуктовая страница речевой аналитики без клиента",telecom,customer-support,rejected,"no_client — продуктовая страница вендора"
tl-cand-08,"Билайн (внутреннее использование)",ВымпелКом (Beeline Big Data & AI),https://ria.ru/20260319/bilayn-2081653989.html,"Запуск демодоступа к 5 ИИ-агентам для бизнеса (секретарь, продавец, оператор КЦ и др.)",telecom,operations-copilot,rejected,"announcement_only — анонс платформы без измеримого результата внедрения"
tl-cand-09,Билайн (абоненты),ВымпелКом,https://www.ixbt.com/news/2026/08/10/427361-odnoi-knopkoi-bilain-naucil-ii-prinimat-reklamnye-zvonki-vmesto-abonentov.html,"ИИ принимает рекламные звонки вместо абонента одной кнопкой",telecom,customer-support,rejected,"no_result — новая функция без измеримого результата в источнике"
tl-cand-10,"Билайн бизнес (внутренние КЦ)",ВымпелКом,https://www.comnews.ru/content/246159/2026-07-02/2026-w27/1010/opyt-bilayn-biznes-kak-prediktivnyy-obzvon-menyaet-rabotu-kontakt-centrov,"Предиктивный обзвон: рост контактов в час x1.5, снижение непродуктивных режимов на 15%",telecom,sales,included,"Включён как ru-tl-beeline-predictive-dialer-01 (грейд B)"
tl-cand-11,Т2 (Tele2 Россия),Т2 (собственная разработка),https://spb.t2.ru/about/news-list/2025/08/06/t2-vnedrila-golosovogo-assistenta-dlya-zashchity-ot-spama-i-telefonnogo-moshennichestva,"Бесплатный голосовой ассистент против спама и мошенничества для всех абонентов",telecom,customer-support,included,"Включён как ru-tl-t2-voice-assistant-01 (грейд B)"
tl-cand-12,Ростелеком,"Ростелеком (Нейрошлюз, платформа ИИ)",https://alfabank.ru/alfa-investor/t/kak-rostelekom-vnedryaet-robotov-i-iskusstvennyy-intellekt/,"Обзорная статья про роботизацию и ИИ-платформу Нейрошлюз без конкретного измеримого кейса",telecom,operations,rejected,"no_result — обзорный материал, нет конкретного измеримого внедрения с результатом"
tl-cand-13,Ростелеком,Ростелеком (собственная разработка),https://www.company.rt.ru/press/news/d476715/,"Голосовой бот с предиктивной моделью: точность предсказания темы 80%, автоматизация ~60% звонков",telecom,customer-support,included,"Включён как ru-tl-rostelecom-voicebot-01 (грейд A)"
tl-cand-14,Ростелеком-ЦОД,AutoFAQ,https://autofaq.ai/case/rostelecom,"Омниканальный ИИ-ассистент поддержки: экономия >20 млн руб/год, NPS -4->30",telecom,customer-support,included,"Включён как ru-tl-rostelecom-cdt-autofaq-01 (грейд B)"
tl-cand-15,Naumen (продукт),Naumen,https://www.naumen.ru/products/agent-copilot/,"Продуктовая страница Naumen Agent Copilot для операторов КЦ, без названного клиента",contact-centers,operations-copilot,rejected,"grade_d_marketing — продуктовая страница вендора без клиента"
tl-cand-16,"Не назван (телеком-клиенты Cleverbots)",Just AI / Cleverbots,https://just-ai.com/success-stories/pmi,"Чат-бот и голосовой помощник — успешный кейс, но клиент PMI не относится к телекому",manufacturing,customer-support,rejected,"out_of_scope — клиент не из отрасли телеком"
tl-cand-17,Rutube (Газпром-Медиа Холдинг),Rutube (собственная разработка),https://habr.com/ru/amp/publications/904162,"ИИ-премодерация до 1 млн видео/день, ~99% автоматизации, +30% времени просмотра",telecom,legal-compliance,included,"Включён как ru-tl-rutube-moderation-01 (грейд B)"
tl-cand-18,Кинопоиск (Яндекс),Кинопоиск (собственная разработка),https://habr.com/ru/amp/publications/1046391,"Кросс-стриминговый рекомендательный алгоритм 'Мнемоник' на CatBoost",telecom,recommendations-search,included,"Включён как ru-tl-kinopoisk-recommender-01 (грейд B)"
tl-cand-19,Дом.ru (ЭР-Телеком Холдинг),"iProspect, 171Meridian, Google",https://www.sostav.ru/publication/kejs-kak-dom-ru-poluchil-prirost-zayavok-i-konversii-blagodarya-mashinnomu-obucheniyu-30936.html,"ML в рекламных кампаниях: CPL -61%, заявки +30%, конверсия +13%",telecom,marketing,included,"Включён как ru-tl-domru-ml-marketing-01 (грейд B)"
tl-cand-20,ЭР-Телеком Холдинг,CTI (интегратор),https://www.cti.ru/about/success-story/ao-er-telekom-kholding/,"Виртуальный ассистент на платформе Omilia в контакт-центре",telecom,customer-support,rejected,"source_unavailable — страница вернула ошибку 503, не удалось открыть даже через fetch-page.mjs"
tl-cand-21,МГТС,-,https://vc.ru/services/2721593-mgts-problemy-i-transformatsiya-v-tsifrovuyu-epokhu,"Общая статья о трансформации МГТС без конкретного ИИ-внедрения",telecom,operations,rejected,"no_implementation — не найдено конкретного ИИ-кейса МГТС"
tl-cand-22,Vodafone Германия,Genesys (IBM Watson),https://www.genesys.com/en-gb/customer-stories/vodafone,"Чат-бот TOBi обрабатывает 100% мессенджинг-обращений, FCR 16%->44%",telecom,customer-support,included,"Включён как de-tl-vodafone-genesys-tobi-01 (грейд B)"
tl-cand-23,Vodafone (группа),IBM,https://www.ibm.com/case-studies/vodafone-tobi,"GenAI сократил тестирование диалоговых сценариев TOBi с 6.5ч до <1 мин",telecom,operations-copilot,included,"Включён как gb-tl-vodafone-ibm-tobi-testing-01 (грейд B)"
tl-cand-24,Vodafone (группа),-,https://www.marketingweek.com/vodafone-chatbot-customer-experience/,"Заявленные NPS+14, resolution 70%, cost-per-chat -70% для TOBi",telecom,customer-support,rejected,"source_unavailable — страница вернула 403, цифры не подтверждены прямым просмотром"
tl-cand-25,Vodafone Italy / Fastweb,LangChain (LangGraph/LangSmith),https://blog.langchain.com/customers-vodafone-italy/,"AI-агенты на LangGraph/LangSmith для клиентского опыта Fastweb+Vodafone",telecom,customer-support,rejected,"unverifiable — не открывалась подробно из-за бюджета запросов"
tl-cand-26,Deutsche Telekom,OpenAI,https://openai.com/index/deutsche-telekom/,"AI-native трансформация: 50000+ MAU ChatGPT/API, рост использования +546%",telecom,operations-copilot,included,"Включён как de-tl-telekom-openai-01 (грейд C, метрики агрегированные)"
