candidate_id,client,vendor,url,reason_code,reason
c07,Wildberries,unknown,https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%D0%A1%D0%BA%D0%BB%D0%B0%D0%B4%D1%81%D0%BA%D0%B8%D0%B5_%D1%80%D0%BE%D0%B1%D0%BE%D1%82%D1%8B_%D0%B2_Wildberries,source_unavailable,"Страница вернула 404 Not Found и прямым, и URL-кодированным запросом; использована как duplicate/фон, не как отдельный источник"
c13,S7 Airlines,in-house,https://cio.osp.ru/news/200319-S7-Airlines-vnedrila-rekomendatelnuyu-sistemu-na-osnove-mashinnogo-obucheniya,out_of_scope,"Рекомендательная система для направлений полетов - коммерческий/маркетинговый кейс (конверсия из просмотров в бронирования), не логистический процесс"
c15,РЖД,unknown,https://www.tadviser.ru/index.php/Новости:Искусственный_интеллект_может_принести_железнодорожным_компаниям_миллиарды_долларов_в_год,no_client,"Обзорная аналитика McKinsey/UIC о потенциале ИИ на железных дорогах в целом, без конкретного клиента и внедрения"
c16,Аэрофлот,in-house,https://www.tadviser.ru/index.php/%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F:%D0%98%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B5_%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B2_%D0%90%D1%8D%D1%80%D0%BE%D1%84%D0%BB%D0%BE%D1%82%D0%B5,announcement_only,"ИИ-стратегия до 2030 года (40+ инициатив) и пилот чат-бота на сайте - планы и намерения, не завершённое внедрение с результатом"
c17,Деловые Линии,,,no_implementation,"По направленным запросам не найдено ни одного конкретного описания внедрения ИИ в Деловых Линиях - только общие обзоры рынка логистики"
c18,ПЭК,Roxot/Ingate,https://www.sostav.ru/publication/ingate-i-pek-targeting-s-pomoshchyu-ii-ot-roxot-uvelichil-post-view-konversiyu-v-2-2-raza-62565.html,out_of_scope,"Найденный кейс ПЭК касается ИИ-таргетинга рекламы (маркетинг), а не логистических операций компании"
c19,FESCO,in-house/Softline,https://ar2024.fesco.ru/strategic-report/digitalisation,not_ai,"Цифровизация порта ВМТП (согласование заявки 36ч->3ч, электронные накладные) описана как автоматизация документооборота без явного упоминания ИИ/ML в этом конкретном процессе"
c20,FESCO,собственная разработка,https://eawards.1c.ru/projects/demo/308162.html,not_ai,"FMS - ERP/микросервисная платформа управления перевозками на базе 1С:Предприятие 8, признаков применения ИИ/ML не обнаружено"
c21,Global Ports/НМТП,unknown,https://www.tadviser.ru/index.php/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F:%D0%93%D0%BB%D0%BE%D0%B1%D0%B0%D0%BB_%D0%9F%D0%BE%D1%80%D1%82%D1%81_(Global_Ports),no_implementation,"Найдена только общая информация о компании и судебных делах (ФАС), конкретного ИИ-кейса не обнаружено"
c22,Монополия,unknown,https://www.comnews.ru/content/243800/2026-02-16/2026-w08/1013/buduschee-rossiyskogo-rynka-tms-avtomatizacii-k-intellektualnoy-logistike,no_implementation,"Найден только отраслевой обзор рынка TMS-систем (MasterTMS и др.), без конкретного описания внедрения ИИ именно в Монополии"
