candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
c01,Московская электронная школа,Правительство Москвы (в разработке),https://shkolamoskva.ru/news/trend-na-personalizacziyu-kakie-novye-servisy-i-funkczii-poyavilis-v-moskovskoj-elektronnoj-shkole/,ИИ-репетитор и «Цифровой учитель» для персонализации обучения школьников,education,training-onboarding,included,"Реальный масштаб (1,3 млн пользователей), первичный госисточник"
c02,Правительство Москвы (общегородской контакт-центр),ДИТ Москвы (в разработке),https://www.mos.ru/city/projects/contact-center/,Голосовой помощник и речевая аналитика в контакт-центре,public-sector,customer-support,included,"Работает с 2014 года, первичный госисточник с цифрами"
c03,Правительство Москвы (городское хозяйство),ДИТ Москвы (в разработке),https://www.mos.ru/news/item/165672073/,Нейросеть находит 43 типа недочётов городского хозяйства по камерам,public-sector,security,included,"Первичный госисточник, но без измеримого результата"
c04,Правительство Нижегородской области,NtechLab,https://www.kommersant.ru/doc/8672168,Мобильный комплекс видеоаналитики для «Безопасного города»,public-sector,security,included,"Два независимых СМИ + конференция, есть оценка экономии"
c05,Skyeng,Skyeng (in-house),https://habr.com/ru/companies/skyeng/articles/818567/,AI-конвейер производства контента для уроков,education,training-onboarding,included,Первичный источник (блог компании) + независимый кейс-обзор с цифрами
c06,Минцифры России / Госуслуги,Минцифры (in-house),https://www.comnews.ru/content/235913/2024-10-25/2024-w43/1007/mincifry-dokrutit-maksa-k-novomu-godu,ИИ-консультант «Макс» на Госуслугах,public-sector,customer-support,included,"Стадия пилот/бета, конкретные цифры за июль 2024"
c07,Федеральная налоговая служба,ФНС (in-house),https://vc.ru/legal/2809497-fns-i-ii-kak-nalogovaya-kontroliruet-zarubezhnye-scheta,ИИ и большие данные для контроля зарубежных счетов,public-sector,fraud-risk,included,"Единственный медиа-источник, нет измеримого результата — грейд C"
c08,АО «ПравоТех» (Casebook/Caselook),ПравоТех (in-house),https://pravo.ru/company_news/258472/,ИИ-база знаний снижает нагрузку юридического департамента,professional-services,legal-compliance,included,"Два источника, но тонкие данные — грейд B"
c09,Правительство Пензенской области,"NtechLab, Netvision",https://www.cnews.ru/news/line/2026-03-17_ntechlab_i_netvision_vnedrili_videoanalitiku,Видеоаналитика в «Безопасном городе» Пензенской области,public-sector,security,included,"Единственный медиа-источник, вендорские тех.характеристики"
c10,Newark Public Schools,Khan Academy,https://www.khanacademy.org/schools/case-studies/newark-public-schools,Khanmigo и Khan Academy повышают успеваемость по математике,education,training-onboarding,included,"Единственный вендорский источник, но подробные метрики"
c11,Duolingo,OpenAI,https://aiexpert.network/case-study-duolingo-transforms-language-learning-through-ai/,"GPT-4 в Duolingo Max (Explain My Answer, Roleplay)",education,training-onboarding,included,Нет измеримых метрик именно фичи — грейд C
c12,GovTech Singapore,GovTech (in-house),https://www.tech.gov.sg/technews/how-govtech-uses-ai-to-enhance-digital-public-services/,OneService чат-бот для городских обращений,public-sector,customer-support,included,Первичный государственный источник с конкретными метриками
c13,Ministry of Manpower Singapore / GovTech,AWS,https://aws.amazon.com/solutions/case-studies/govtech/,Платформа MAESTRO: обработка документов и классификация вакансий,public-sector,document-processing,included,"Customer story облачной платформы — грейд B, но богатые метрики"
c14,Правительство Эстонии,Правительство Эстонии (in-house),https://interoperable-europe.ec.europa.eu/collection/open-source-observatory-osor/document/digital-public-services-based-open-source-case-study-burokratt,Bürokratt — государственный ИИ-ассистент,public-sector,customer-support,included,"Официальный источник ЕС, но нет измеримого результата — грейд C"
c15,ИАТЭ НИЯУ МИФИ,Четвёртый Рим,https://4rome.ru/projects/nash-chat-bot-privel-chetvert-ot-vsego-nabora-studentov/,Чат-бот для приёмной комиссии вуза во ВКонтакте,education,marketing,rejected,not_ai — обычный сценарный чат-бот без нейросетей/ИИ
c16,Cosmos Hotel Group,"Сбер, SberDevices",https://www.eastrussia.ru/news/nomera-v-otelyakh-cosmos-budut-slushat-golosa-sber-sberdevices-i-set-oteley-dogovorilis-ob-umnom-bud/,«Умные номера» с голосовым управлением и ГигаЧатом в отелях Cosmos,hospitality-travel,customer-support,rejected,"announcement_only — соглашение подписано, внедрения и результатов пока нет"
c17,Cosmos Hotel Group,Холдинг Т1,https://cosmosgroup.ru/about/press/cosmos-hotel-group-i-t1-stali-pobeditelami-konkursa-1sproekt-goda,"Переход на 1С:Управление Холдингом, победа в «1С:Проект года»",hospitality-travel,finance-accounting,rejected,not_ai — проект ERP/1С без элементов ИИ
c18,Яндекс Путешествия,Яндекс (in-house),https://travel.yandex.ru/journal/kak-iskusstvennyj-intellekt-oblegchit-planirovanie-puteshestvij/,Нейросеть анализирует отзывы об отелях и делает выжимку,hospitality-travel,recommendations-search,rejected,"source_unavailable — страница отдала капчу, контент не подтверждён"
c19,Островок / Яндекс Путешествия / Туту.ру,Realweb (исследование),https://www.cnews.ru/news/line/2026-08-12_ii_stanovitsya_kanalom_prodazh,Упоминаемость travel-сервисов в ответах нейросетей,hospitality-travel,marketing,rejected,"not_ai / no_implementation — это исследование видимости бренда в чужих ИИ-ответах, а не внедрение ИИ компанией"
c20,(не назван — контакт-центр),NAUMEN,https://www.naumen.ru/events/news/4315/,ИИ-робот для классификации звонков в контакт-центре,public-sector,customer-support,rejected,no_client — продуктовый анонс без названного заказчика
c21,(разные компании),Doczilla,https://doczilla.pro/kak_yuristy_ispolzuyut_ai_v_2024,Топ-10 сценариев использования ИИ юристами в 2024 году,professional-services,legal-compliance,rejected,no_client — обобщённые сценарии без названных клиентов и цифр
c22,НИУ ВШЭ,ВШЭ (in-house, исследовательский проект),"https://stratpro.hse.ru/human-success/news/959419313.html, Исследовательский проект персонализированной ИИ-поддержки школьников",education,training-onboarding,rejected,"announcement_only — инструмент разрабатывается, апробация ещё не проведена"
c23,Ренессанс Банк,Skillaz,https://skillaz.ru/cases/renessans-bank-optimiziroval-i-avtomatiziroval-processy-podbora,ИИ-подбор персонала ускорил найм на 39%,finance-insurance,hr-recruitment,rejected,out_of_scope — отрасль клиента (банк) не входит в направление этого агента
c24,Группа «Черкизово»,Skillaz,https://ufa.hh.ru/article/uvyelichili-kolichyestvo-zakrytykh-vakansiy-kyeys-chyerkizovo-i-Skillaz,Увеличение закрытых вакансий на 25% с помощью Skillaz,agriculture-food,hr-recruitment,rejected,out_of_scope — отрасль клиента (АПК) не входит в направление этого агента
c25,Крупная FMCG-сеть (аноним),hh.ru / скрининг резюме,https://habr.com/ru/companies/bothub/articles/971014/,ИИ-скрининг резюме сократил время найма линейного персонала на 40%,retail-ecommerce,hr-recruitment,rejected,"out_of_scope — отрасль клиента (ритейл/FMCG) не входит в направление; клиент к тому же анонимный"
c26,Евраз,ПравоТех / собственная разработка,https://pravo.ru/company_news/258472/,Автогенерация листов ознакомления и выжимок по документам для юрдепартамента,professional-services,legal-compliance,rejected,out_of_scope — отрасль клиента (металлургия) не входит в направление этого агента
c27,Ростелеком,собственная разработка,https://pravo.ru/company_news/258472/,Мониторинг нормативных актов и генерация дайджестов для юрдепартамента,professional-services,legal-compliance,rejected,out_of_scope — отрасль клиента (телеком) не входит в направление этого агента
c28,ФНС России (Puzzle RPA),Puzzle RPA,(не открыт — только сниппет поиска),RPA-проект на 120 000+ сотрудников ФНС,public-sector,document-processing,rejected,"unverifiable — не удалось открыть первичный источник в рамках бюджета запросов, неясно, RPA это или именно ИИ"
c29,ФНС России (общая цифровизация),ФНС (in-house),https://www.tadviser.ru/index.php/Статья:Цифровизация_в_Федеральной_налоговой_службе_(ФНС),"Сводная история цифровизации ФНС (АИС «Налог-3», АСК НДС-2 и т.д.)",public-sector,fraud-risk,rejected,"no_result — совокупная многолетняя хроника разных систем, конкретный измеримый эффект одного ИИ-решения выделить нельзя без риска нарушить периметр цифры"
c30,Разные страны (листинг),govnet.co.uk (агрегатор),https://blog.govnet.co.uk/technology/ai-in-government-case-studies,"«8 реальных кейсов ИИ в госсекторе» (Япония, ЕС, Корея, Бразилия, США, ОАЭ, Канада)",public-sector,security,rejected,"unverifiable — блог-агрегатор без ссылок на первичные источники, типичный SEO-листинг с непроверяемыми цифрами"
c31,HeadHunter (hh.ru),hh.ru (in-house),(нет проверенного URL с деталями),Собственная ML-система ранжирования вакансий и резюме hh.ru,technology,recommendations-search,rejected,"unverifiable — упомянуто только в сводке поиска, конкретную статью с деталями открыть не удалось в рамках бюджета"
c32,Estonian Unemployment Insurance Fund (Töötukassa),Правительство Эстонии,https://socialprotectionai.org/use-case/EST-001,ИИ для подбора вакансий безработным и раннего выявления риска долгой безработицы,public-sector,hr-recruitment,rejected,"source_unavailable — страница вернула 401 при WebFetch, детали не подтверждены"
c33,Разные юрфирмы/центры,Casebook/PravoTech,https://casebook.ru/,"Продуктовая страница Casebook: анализ дел, проверка контрагентов",professional-services,legal-compliance,rejected,"no_client — продуктовая страница без конкретного клиента (использована только как справочная, не как отдельный кейс)"
