candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
c01,СДЭК,CDEK Digital (in-house),https://sber.pro/cases/sgenerirui-marshrut-kak-v-sdek-avtomatizirovali-upravlenie-kurerami/,ИИ-маршрутизация курьеров и классификация ТН ВЭД,logistics-transport,scheduling-dispatching,included,Grade A - included as ru-lg-sdek-routing-01
c02,СДЭК,CDEK Digital (in-house),https://www.cnews.ru/news/line/2025-06-11_sdek_vnedryaet_iskusstvennyj,Прогнозирование грузопотока 98% точности,logistics-transport,forecasting,included,duplicate source merged into ru-lg-sdek-routing-01
c03,ГУП Мосгортранс,Оптуран (in-house),https://mosgortrans.ru/press/news/kak-iskusstvennyy-intellekt-uluchshaet-rabotu-nazemnogo-transporta/,ИИ-назначение водителей на маршруты,logistics-transport,scheduling-dispatching,included,Grade A - included as ru-lg-mosgortrans-opturan-01
c04,ГУП Мосгортранс,КСОР/Октоинформ Рус,"https://www.tadviser.ru/index.php/Компания:Мосгортранс,_ГУП",Система Антисон - мониторинг усталости водителей,logistics-transport,security,included,Grade C - included as ru-lg-mosgortrans-antison-01
c05,Ozon,in-house,https://www.retail.ru/news/ozon-novaya-model-umnoy-sortirovki-i-otgruzki-tovarov-povysit-effektivnost-prots-26-maya-2026-278172/,Умная сортировка (ленточные и 3D-сортеры),logistics-transport,optimization,included,Grade B - included as ru-lg-ozon-sorting-01
c06,Wildberries,in-house,https://robotrends.ru/pub/2503/avtomatizaciya-skladov---opyt-wildberries,Роботы-манипуляторы и машинное зрение на складах,logistics-transport,optimization,included,Grade C - included as ru-lg-wildberries-robots-01
c07,Wildberries,unknown,https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%D0%A1%D0%BA%D0%BB%D0%B0%D0%B4%D1%81%D0%BA%D0%B8%D0%B5_%D1%80%D0%BE%D0%B1%D0%BE%D1%82%D1%8B_%D0%B2_Wildberries,Складские роботы - страница TAdviser,logistics-transport,optimization,duplicate,source_unavailable - 404 обоими вариантами URL
c08,Полюс Логистика,КСОР,https://www.cnews.ru/articles/2022-11-08_kak_nejroseti_sledyat_za_ustalostyu,Мониторинг усталости водителей большегрузов,logistics-transport,security,included,Grade B - included as ru-lg-polyus-logistika-fatigue-01
c09,Почта России,Тераплан,https://abnews.ru/center/news/mosreg/2026/8/20/v-podmoskove-pochta-rossii-sokratila-sroki-dostavki-blagodarya-ii,Прогнозирование грузопотока ускорило доставку на 23%,logistics-transport,forecasting,included,Grade C - included as ru-lg-pochta-teraplan-01
c10,justfood,Яндекс,https://yandex.ru/routing/articles/justfood/,Переход на Яндекс Маршрутизацию сэкономил 17% на доставке,logistics-transport,scheduling-dispatching,included,Grade B - included as ru-lg-justfood-yandex-01
c11,Яндекс Маркет,Яндекс (in-house),https://yandex.ru/routing/articles/yandex-market/,Собственная курьерская платформа - точность 95%,logistics-transport,scheduling-dispatching,included,Grade B - included as ru-lg-yandex-market-delivery-01
