candidate_id,client,vendor,url,reason_code,reason
ru-mf-mmk-motor-diagnostics-01,ММК,не указан,https://www.tadviser.ru/index.php/Статья:TAdviser_SummIT_2026:_секция_Искусственный_интеллект,unverifiable,"Упомянут только в общем описании конференции TAdviser SummIT 2026, без деталей проблемы/решения/результата"
ru-mf-rusal-melt-prep-01,РУСАЛ,РУСАЛ ИТЦ,https://rusal.ru/press-center/press-releases/rusal-vnedryaet-iskusstvennyy-intellekt-dlya-kontrolya-za-proizvodstvom-splavov/,unverifiable,"URL встречен только в результатах WebSearch, страница отдельно не открывалась через WebFetch в рамках бюджета сессии; во избежание дублирования с уже включёнными кейсами РУСАЛа решено не включать без прямой проверки"
ru-mf-omk-wheelset-01,ОМК,ОМК ИТ,https://www.novostiitkanala.ru/news/detail.php?ID=196773,not_ai,"Внедрена автоматическая выгрузка данных диагностики в 1С ERP; источник не упоминает ИИ, машинное обучение или компьютерное зрение"
ru-mf-tmh-weld-inspection-01,ТМХ (Трансмашхолдинг),2050-Интегратор,https://www.metalinfo.ru/ru/news/123213,source_unavailable,"Первичный сайт metalinfo.ru вернул ошибку 503 при трёх попытках WebFetch, альтернативная копия на spar.org.ua вернула 404 — не удалось подтвердить факты прямым открытием источника"
ru-mf-odk-turbine-predictive-01,ОДК,не указан,https://rostec.ru/media/news/odk-primenyaet-iskusstvennyy-intellekt-dlya-predikativnoy-diagnostiki-gazoturbinnykh-dvigateley-/,duplicate,"Пересекается с включённым кейсом ОДК-Сатурн (контроль лопаток ПД-8) — та же корпорация и та же тема применения ИИ в контроле качества двигателей; отдельно не проверялся во избежание дублирования"
ru-mf-segezha-iot-dispatch-01,Сегежа Групп,Сегежа Цифровые Решения,https://www.cnews.ru/news/line/2026-03-05_segezha_grupp_razrabotala,not_ai,"Решение описано как диспетчеризация на основе интернета вещей (IoT); упоминаний ИИ/машинного обучения в источнике нет"
ru-mf-sinara-sber-hackathon-01,Группа Синара,Сбер,https://www.sinara-group.com/media/news/sber-i-gruppa-sinara-razrabotali-bolee-40-stsenariev-primeneniya-gigachat-v-promyshlennosti/,announcement_only,"Описан хакатон и разработка сценариев применения GigaChat; факта внедрения в производственный процесс конкретного предприятия нет"
ru-mf-kamaz-welding-robots-01,КАМАЗ,не указан,https://prokazan.ru/novosti-tatarstana/view/kamaz-primenaet-nejroseti-v-proizvodstve-i-razrabotke,no_result,"Общее описание применения нейросетей и роботов на производстве без конкретной проблемы, масштаба или измеримого результата"
ru-mf-sibur-gigachat-upskilling-01,СИБУР,Сбер (GigaChat),https://platforms.su/project/2827,out_of_scope,"Кейс про корпоративный апскиллинг персонала с GigaChat — это HR/обучение, а не производственный AI-кейс по профилю направления manufacturing"
ru-mf-nornickel-cv-mining-01,Норникель,не указан,https://www.mining-portal.ru/news/company_news/-nornikel--vnedryaet-kompyuternoe-zrenie--avtomaticheskie-algoritmyi-i-tsifrovyie-dvoyniki-/,out_of_scope,"Обогатительная фабрика/горная добыча относится к отрасли mining-oil-gas по таксономии, а не к manufacturing — передано в соответствующее направление"
ru-mf-zyfra-generic-01,не указан (продуктовая страница),Zyfra (Цифра),https://medium.com/zyfra/predictive-maintenance-and-decision-support-systems-in-heavy-industry-2c587615b9b8,no_client,"Общее описание продуктовых возможностей Zyfra для предиктивного обслуживания в тяжёлой промышленности без названного клиента и конкретного внедрения"
global-mf-bosch-rexroth-academic-01,Bosch Rexroth,не указан,https://www.researchgate.net/publication/372802236_Predictive_Maintenance_for_Hydraulic_Components_Bosch_Rexroth,unverifiable,"Академическая публикация (PDF аннотация через ResearchGate), не удалось подтвердить наличие реального промышленного внедрения на конкретном объекте в рамках бюджета сессии"
tw-mf-foxconn-huawei-case-01,Foxconn,Huawei,https://e.huawei.com/en/case-studies/industries/manufacturing/ai-quality-inspection-2023,unverifiable,"Кейс-стади Huawei о собственном решении на производстве Foxconn не открывался через WebFetch в рамках бюджета сессии; во избежание дублирования с включённым кейсом Foxconn NxVAE (другой вендор/технология) решено не включать без прямой проверки"
us-mf-augury-purina-01,Purina,Augury,https://www.augury.com/blog/machine-health/,out_of_scope,"Purina — производитель кормов для животных, относится к отрасли agriculture-food по таксономии, а не к manufacturing; вместо этого использован кейс Augury/Canfor (ЦБП, входит в manufacturing)"
us-mf-siemens-senseye-generic-01,не указан (продуктовая платформа),Siemens (Senseye),https://www.gsdcouncil.org/blogs/next-gen-ai-in-action-siemens-elevates-predictive-maintenance-with-generative-ai,grade_d_marketing,"Общее описание возможностей платформы Senseye (снижение простоев до 50%, эффективности до 55%) без названного клиента — маркетинговое заявление о продукте"
us-mf-landing-ai-semiconductor-01,не указан (анонимный производитель полупроводников),Landing AI,https://landing.ai/wp-content/uploads/2021/11/LandingAI_CaseStudy_Semiconductors.pdf,no_client,"Кейс-стади вендора с анонимным клиентом («a semiconductor manufacturer»), имя компании не раскрыто"
us-mf-aws-lookout-vision-generic-01,не указан (продуктовая страница),AWS,https://aws.amazon.com/blogs/machine-learning/amazon-lookout-for-vision-now-supports-visual-inspection-of-product-defects-at-the-edge/,no_client,"Продуктовая страница сервиса Amazon Lookout for Vision без названного клиента и конкретного внедрения"
us-mf-ge-aerospace-child-ai-01,GE Aerospace,не указан,https://www.geaerospace.com/news/press-releases/ge-aerospace-researchers-demonstrate-ai-child-discovers-meaning-behind-objects-and,no_implementation,"Анонс исследовательской разработки (демонстрация ИИ, распознающего смысл объектов и действий), не описывает промышленное внедрение в производственный процесс"
