candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
c01,Ингосстрах,MAINS Lab,https://www.ingos.ru/company/news/2022/fcc7dcba-f385-4cd5-859c-08dafe9f0508,CV-оценка повреждений автомобиля по фото для ОСАГО/КАСКО,finance-insurance,cv-inspection,included,"Пилот на сотнях реальных случаев, есть первичный источник"
c02,Группа Ренессанс Страхование,Dbrain,https://platforms.su/project/2868,Document AI для обработки заявлений ОСАГО/КАСКО,finance-insurance,document-processing,included,Конкретные метрики времени и точности
c03,Группа Ренессанс Страхование,Yandex Cloud,https://platforms.su/project/2842,YandexGPT для согласования услуг по ДМС,finance-insurance,document-processing,included,"Отдельный проект от Dbrain, есть метрики"
c04,Альфа-Банк,"GlowByte, ReML",https://www.comnews.ru/digital-economy/content/244102/2026-03-05/2026-w10/1012/alfa-bank-i-glowbyte-uprostili-valyutnyy-kontrol-pomoschyu-ii-agenta,ИИ-агент для валютного контроля контрактов,finance-insurance,legal-compliance,included,"Независимое СМИ, конкретные цифры, пилот"
c05,АльфаСтрахование,Audatex,https://abreview.ru/ab/news/alfastrakhovanie_otsenit_ubytki_s_pomoshchyu_ii/,Qapter Visual Intelligence для оценки повреждений по ОСАГО,finance-insurance,cv-inspection,included,"Независимое отраслевое СМИ, пилот в регионах"
c06,ВТБ,в разработке банка,https://banks.cnews.ru/news/line/2026-06-16_ii_stal_eshche_umnee_vtb_moi,Робоэдвайзер Интеллект в ВТБ Мои Инвестиции,finance-insurance,recommendations-search,included,Есть аккредитация ЦБ и метрика по пользователям
c07,Т-Банк,в разработке банка,https://vc.ru/ai/1654138-ii-v-t-banke-reshaet-konkretnye-zadachi-i-ne-konkuriruet-s-chelovekom,Семейство доменных LLM Gen-T,finance-insurance,operations-copilot,included,"Единственный источник от самого банка, метрики общие"
c08,СОГАЗ,неизвестно,https://www.sogaz.ru/sogaz/pressroom/release/850576/,Telegram-бот для урегулирования убытков КАСКО/ОСАГО,finance-insurance,customer-support,included,"Первичный источник клиента, нет метрик"
c09,Совкомбанк,Just AI,https://generation-ai.ru/cases/sovcombank,Внутренний AI-ассистент Сова для сотрудников,finance-insurance,operations-copilot,included,Подробные операционные метрики
c10,Альфа-Лизинг,WaveAccess,https://www.akm.ru/press/v_alfa_lizinge_vnedrili_iskusstvennyy_intellekt_dlya_optimizatsii_prodazh_lizingovykh_uslug/,ValueAI для прогноза спроса на лизинг и лидогенерации,finance-insurance,sales,included,"Полная воронка метрик, независимое СМИ"
c11,Московская биржа,в разработке биржи,https://www.kommersant.ru/doc/8798861,ИИ для выявления манипулирования рынком,finance-insurance,fraud-risk,included,"Независимое СМИ (Коммерсантъ), реально запущено"
c12,JPMorgan Chase,в разработке банка,https://www.abajournal.com/news/article/jpmorgan_chase_uses_tech_to_save_360000_hours_of_annual_work_by_lawyers_and,COIN для анализа кредитных договоров,finance-insurance,document-processing,included,"Классический признанный кейс, независимое СМИ"
c13,Klarna,OpenAI,https://openai.com/index/klarna/,AI-ассистент поддержки на базе OpenAI,finance-insurance,customer-support,included,"Подробные метрики, цитаты CEO Klarna"
c14,Mastercard,в разработке компании,https://www.cdomagazine.tech/aiml/mastercard-launches-decision-intelligence-pro-new-generative-ai-model-for-fraud-detection,Decision Intelligence Pro для антифрода,finance-insurance,fraud-risk,included,"Независимое СМИ, конкретные метрики"
c15,DBS Bank,в разработке банка,https://www.dbs.com/newsroom/Harvard_Business_School_examines_DBS_AI_strategy_and_implementation_in_its_first_case_study_focusing_on_AI_in_an_Asian_bank,Комплексная ИИ-стратегия банка (кейс Harvard Business School),finance-insurance,customer-support,included,Первичный источник + академическое признание
c16,Lemonade,в разработке компании,https://www.reinsurancene.ws/lemonade-shatters-record-by-using-ai-to-settle-a-claim-in-two-seconds/,AI Jim - автоматическое урегулирование претензий,finance-insurance,customer-support,included,"Независимое отраслевое СМИ, конкретный рекорд"
c17,HSBC,Google Cloud,https://www.prnewswire.com/news-releases/google-cloud-launches-ai-powered-anti-money-laundering-product-for-financial-institutions-301856403.html,AML AI для борьбы с отмыванием денег,finance-insurance,fraud-risk,included,"Подробные метрики пилота, признанная награда Celent"
c18,Wells Fargo,в разработке банка,https://newsroom.wf.com/news-releases/news-details/2026/Wells-Fargo-Reaches-Major-Digital-Milestones/default.aspx,Fargo - виртуальный ассистент в приложении,finance-insurance,customer-support,included,"Первичный источник клиента, огромный масштаб"
c19,Сбербанк,в разработке банка,https://www.tadviser.ru/index.php/Статья:Искусственный_интеллект_в_Сбербанке,Общее применение ИИ в кредитном скоринге Сбербанка,finance-insurance,fraud-risk,rejected,Generic-описание применения ИИ без конкретного внедрения/проекта с измеримым результатом
c20,Альфа-Банк,неизвестно,https://vc.ru/money/1485593-kak-iskusstvennyi-intellekt-pomogaet-alfa-banku-vovremya-popolnyat-bankomaty,ИИ для оптимизации загрузки банкоматов наличностью,finance-insurance,forecasting,rejected,"Не хватило бюджета WebFetch на глубокую проверку; уже есть другой кейс Альфа-Банка в выдаче"
c21,Совкомбанк,неизвестно,https://www.akm.ru/press/sovkombank_nauchilsya_schitat_zarplatu_robotov_bank_vnedryaet_iskusstvennyy_intellekt/,Методика измерения ИИ-дохода банка,finance-insurance,operations-copilot,rejected,"Общая методология оценки эффекта ИИ, не отдельный кейс внедрения с результатом"
c22,РЕСО-Гарантия,AIINS,https://safe.cnews.ru/news/line/2026-07-15_reso-garantiya_i_insurtech-platforma,Партнёрство с InsurTech-платформой AIINS,finance-insurance,document-processing,rejected,Анонс начала партнёрства без описания факта работы системы и результатов
c23,Группа Ренессанс Страхование,Сбербанк/GigaChat,https://www.cnews.ru/news/line/2026-05-19_sberbank_tehnologii_generativnogo,Пилотное соглашение о применении GigaChat/SberMedAI в страховых продуктах,finance-insurance,customer-support,rejected,"Подписано пилотное соглашение, внедрение и результаты ещё не наступили на момент публикации"
c24,Газпромбанк,неизвестно,https://secpost.ru/gazprombank-pilotiruet-ii-po-obnaruzheniyu-anomalnogo-povedeniya-sotrudnikov-ciso-gazprombanka-v-intervyu-secpost,Общее применение ИИ в антифроде и AML,finance-insurance,fraud-risk,rejected,Слишком общее описание практик без конкретного внедрения и измеримого результата
c25,Почта Банк,ЦРТ (Центр речевых технологий),https://www.speechpro.ru/media/news/06-04-2018,Голосовая биометрия VoiceKey.Platform для контакт-центра,finance-insurance,customer-support,rejected,"Источник описывает проект как 'готовящийся к внедрению' (анонс), а не факт работающей системы"
c26,Приорбанк (Беларусь),ЦРТ (Центр речевых технологий),не открывался в сессии,VoiceKey.Agent для голосовой верификации в контакт-центре,finance-insurance,customer-support,rejected,URL не был открыт через WebSearch/WebFetch в этой сессии - только упомянут в сводке поиска
c27,Сбербанк,в разработке банка,не открывался в сессии (упомянуто в сводке поиска),"Антифрод-система на базе Big Data (2018,  ~32 млрд руб. сохранено вкладчикам)",finance-insurance,fraud-risk,rejected,Цифра из сводки поиска не подтверждена прямым WebFetch первоисточника в этой сессии
