url,publisher,source_type,accessed,status,used_for
https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%C2%AB%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC_%D0%BD%D0%B5%D1%84%D1%82%D1%8C%C2%BB_%D0%B2%D0%BD%D0%B5%D0%B4%D1%80%D1%8F%D0%B5%D1%82_%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%D0%BA%D1%82_%D0%BF%D1%80%D0%B8_%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D0%B5_%C2%AB%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81%D0%B0%C2%BB,TAdviser,media,2026-08-27,error,"попытка проверить кейс Газпром нефть + Яндекс, страница вернула 404"
https://exkavator.ru/mining/news/inf_news/145316_mashinnoe_zrenie_zashchitit_konveyernoe_oborudovanie_nornikelya.html,Exkavator.ru,media,2026-08-27,partial,"кейс машинного зрения на конвейерах Норникеля - текст статьи не получен, только навигация сайта"
https://www.cnews.ru/news/line/2026-02-26_sibur_uskoryaet_analiticheskie,CNews,media,2026-08-27,ok,ru-mn-sibur-cv-materials-01
https://www.alrosa.ru/press-center/news/2025/alrosa-vnedrit-iskusstvennyy-intellekt-v-poisk-mestorozhdeniy-almazov/,АЛРОСА,client,2026-08-27,ok,ru-mn-alrosa-exploration-ai-01
https://cio.osp.ru/news/260319-Gazprom-neft-ispolzuet-iskusstvennyy-intellekt-v-razrabotke-mestorozhdeniy,CIO/Открытые системы,media,2026-08-27,ok,ru-mn-gazpromneft-era-optima-01
https://up-pro.ru/library/information_systems/automation_production/iskusstvennyj-intellekt-opyt-tatnefti/,Up-pro.ru,media,2026-08-27,ok,ru-mn-tatneft-video-analytics-01
https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%D0%A0%D1%83%D1%81%D0%B0%D0%BB_(%D0%98%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B8%D0%BD%D1%82%D0%B5%D0%BB%D0%BB%D0%B5%D0%BA%D1%82_(%D0%98%D0%98,_Artificial_intelligence,_AI)),"TAdviser, media, 2026-08-27",error,"попытка проверить кейсы Русал (электролиз/акустика), страница вернула 404"
https://www.comnews.ru/digital-economy/content/224564/2023-02-22/2023-w08/rosneft-vnedryaet-neyroseti-obrabotku-dannykh-seysmorazvedki,ComNews,media,2026-08-27,ok,ru-mn-rosneft-seismic-nn-01
https://bestpractice.ai/ai-case-study-best-practice/bhp_saves_$5.5m_by_predicting_mining_truck_maintenance_requirements_with_machine_learning,Best Practice AI,analyst,2026-08-27,partial,"вернул общий листинг кейсов, не конкретную статью про BHP"
https://gmggroup.org/wp-content/uploads/2023/12/2021-01-11-Rio-Tintos-Experience-with-Automation-and-People.pdf,GMG Group,analyst,2026-08-27,error,"PDF вернул пустое содержимое, кейс Rio Tinto AHS не подтверждён"
