candidate_id,client,vendor,url,reason_code,reason
tl-cand-01,"Федеральная сеть дискаунтеров",MTS Exolve,https://exolve.ru/case/robot-exolve-speeds-up-processing-applications/,out_of_scope,"Клиент — розничная сеть (ритейл), не входит в периметр направления телеком"
tl-cand-02,"Сеть пиццерий",MTS Exolve,https://exolve.ru/case/robot-reduced-costs-communication-for-pizzeria/,out_of_scope,"Клиент — HoReCa, не входит в периметр направления телеком"
tl-cand-04,"Не назван (колл-центр)",Fromtech,https://www.fromtech.ru/cases/call-center/,unverifiable,"Страница не изучалась подробно из-за бюджета запросов, дублирует уже включённый кейс по типу решения"
tl-cand-06,"Не назван",Novofon,https://novofon.com/blog/speech-analytics-cases/,grade_d_marketing,"Обзорная статья о применении речевой аналитики без названного клиента и конкретного внедрения"
tl-cand-07,"Не назван",Skorozvon,https://skorozvon.ru/solutions/ai-rechevaya-analitika,no_client,"Продуктовая страница вендора речевой аналитики без клиента"
tl-cand-08,"Билайн (платформа)",ВымпелКом,https://ria.ru/20260319/bilayn-2081653989.html,announcement_only,"Анонс демодоступа к платформе ИИ-агентов для бизнеса без измеримого результата внедрения"
tl-cand-09,Билайн,ВымпелКом,https://www.ixbt.com/news/2026/08/10/427361-odnoi-knopkoi-bilain-naucil-ii-prinimat-reklamnye-zvonki-vmesto-abonentov.html,no_result,"Описание новой функции без данных об измеримом результате использования"
tl-cand-12,Ростелеком,"Ростелеком (Нейрошлюз)",https://alfabank.ru/alfa-investor/t/kak-rostelekom-vnedryaet-robotov-i-iskusstvennyy-intellekt/,no_result,"Обзорная статья о роботизации/ИИ-платформе без конкретного измеримого кейса внедрения"
tl-cand-15,"Не назван (продукт Naumen)",Naumen,https://www.naumen.ru/products/agent-copilot/,grade_d_marketing,"Продуктовая страница Naumen Agent Copilot без названного клиента и результата"
tl-cand-16,PMI,Just AI / Cleverbots,https://just-ai.com/success-stories/pmi,out_of_scope,"Клиент PMI относится к производству, а не к телекому/КЦ-аутсорсингу"
tl-cand-20,ЭР-Телеком Холдинг,CTI,https://www.cti.ru/about/success-story/ao-er-telekom-kholding/,source_unavailable,"Страница вернула HTTP 503 при прямом запросе и при попытке через fetch-page.mjs"
tl-cand-21,МГТС,-,https://vc.ru/services/2721593-mgts-problemy-i-transformatsiya-v-tsifrovuyu-epokhu,no_implementation,"Не найдено конкретного ИИ-внедрения у МГТС с результатом, только общая статья о компании"
tl-cand-24,Vodafone (группа),-,https://www.marketingweek.com/vodafone-chatbot-customer-experience/,source_unavailable,"Страница вернула HTTP 403, заявленные цифры (NPS+14, resolution 70%) не подтверждены прямым просмотром страницы"
tl-cand-25,Vodafone Italy / Fastweb,LangChain,https://blog.langchain.com/customers-vodafone-italy/,unverifiable,"Страница не открывалась подробно из-за ограничения бюджета запросов"
tl-cand-28,Deutsche Telekom,Rasa,https://info.rasa.com/deutsche-telekoms-journey-with-rasas-conversational-ai,unverifiable,"Страница не открывалась подробно из-за ограничения бюджета запросов"
tl-cand-29,Deutsche Telekom,McKinsey,https://www.mckinsey.com/industries/technology-media-and-telecommunications/how-we-help-clients/empowering-telecom-employees-with-personalized-ai-powered-training-and-coaching-tools,unverifiable,"Страница не открывалась подробно; цифры (-2% переводов, +10% FCR) не подтверждены прямым просмотром"
tl-cand-31,SK Telecom,FriendliAI,https://friendli.ai/customers/sk-telecom,out_of_scope,"Кейс описывает эффективность инфраструктуры инференса (пропускная способность/стоимость GPU), а не бизнес-результат клиентского процесса; отдельная инициатива от включённого AI Customer Service кейса"
tl-cand-32,AT&T,-,https://digitaldefynd.com/IQ/att-using-ai-case-study/,grade_d_marketing,"Вторичный агрегаторский контент без первичного источника и проверяемых цифр"
tl-cand-33,Verizon,Google Cloud,https://www.bestpractice.ai/ai-case-study-best-practice/verizon_monitors_and_optimises_network_performance_in_real-tim_using_machine_learning_to_analyse_network_interface_data,source_unavailable,"При открытии страница перенаправила на общий каталог из 1171 кейсов; конкретный текст по Verizon не подтверждён прямым просмотром"
tl-cand-34,"SoftBank, Bell, SK Telecom, Rogers",Ericsson,https://www.ericsson.com/en/news/2026/6/the-ran-gets-smarter-ericsson-puts-ai-where-it-matters,grade_d_marketing,"Продуктовая страница вендора с обобщёнными цифрами по портфелю из 15+ операторов без результата, привязанного к одному названному клиенту"
tl-cand-35,Orange,Rasa,https://rasa.community/customers/orange/,source_unavailable,"Страница вернула HTTP 404"
tl-cand-36,BT,eGain,https://www.egain.com/telecom-customer-service/,unverifiable,"Найдена только общая продуктовая страница eGain, конкретный URL кейса BT с цифрами не найден"
tl-cand-37,Telefonica,-,https://www.gsmaintelligence.com/research/deutsche-telekom-driving-service-innovation-and-user-experience-for-consumers-with-genai-2-2,unverifiable,"Страница не открывалась подробно из-за ограничения бюджета запросов"
tl-cand-38,"Netflix / Spotify / Comcast",-,https://www.almabetter.com/bytes/articles/netflix-churn-prediction-case-study,grade_d_marketing,"Вторичный агрегаторский контент о churn/рекомендациях без первичного источника с конкретно внедрённым результатом"
tl-cand-39,"Не назван",NICE / Genesys,https://www.genesys.com/capabilities/ai-and-automation,no_client,"Общая продуктовая страница возможностей ИИ без названного телеком-клиента"
tl-cand-40,МТС,МТС,https://golicino.mts.ru/about/media-centr/soobshheniya-kompanii/novosti-mts-v-rossii-i-mire/2025-10-24/mts-pervoj-na-rynke-zapuskaet-funkciyu-ai-shumopodavleniya-v-golosovyh-vyzovah,announcement_only,"Анонс запуска функции AI-шумоподавления без данных об измеримом результате"
