candidate_id,name,url,reason_code,reason
a-06,Eridu,https://techcrunch.com/2026/03/10/ai-network-startup-eridu-emerges-from-stealth-with-hefty-200m-series-a/,not_ai,"Продукт — сетевые свитчи на кастомном кремнии для AI-датацентров: инфраструктура ДЛЯ AI, сам продукт не построен на AI-механике; вау сверх раунда — клеймы компании (40% capex / 70% power) без независимого подтверждения"
a-07,Micro1,https://techcrunch.com/2026/08/20/ai-data-startup-micro1-reaches-500m-gross-run-rate-amid-ai-training-boom/,stale_round,"Series A $35M — сентябрь 2025, вне окна 2026-03-03..2026-09-03; свежий трекшен ($500M gross run rate) есть, но нового публично подтверждённого раунда нет"
a-08,Runable,https://techcrunch.com/2026/08/26/runable-hits-21m-to-bet-ai-agents-can-go-from-building-businesses-to-growing-them/,out_of_scope,"Компания из Бангалора (Индия), команда 15 человек — вне полосы A (американские стартапы)"
a-09,Apoha,https://fortune.com/2026/06/03/apoha-36-million-series-a-funding-round-exit-stealth-wave-form-ai-liquid-intelligence/,out_of_scope,"HQ Лондон + SF — преимущественно не-США; вдобавок Fortune с поправкой: раунд-2026 не Series A, сумма именно нового раунда не выделена из $36M total"
a-10,Glow,https://techcrunch.com/2026/07/22/glow-emerges-from-stealth-at-1-2b-valuation-to-challenge-endpoint-security-in-the-ai-era/,no_wow,"Единственный признак — W4 (раунд $180M при $1.2B); внешних свидетельств W1/W2/W3/W5 в выдаче не найдено, при квоте не отобран"
a-11,Fundamental,https://techcrunch.com/2026/06/18/the-11-standout-startups-from-ycs-demo-day-according-to-vcs/,no_wow,$255M при $1.2B — только денежный сигнал из сводки; вау сверх раунда не установлено
a-12,Stability AI,https://techcrunch.com/2026/08/25/stability-ai-maker-of-image-generator-stable-diffusion-raises-76-million-in-fresh-funding/,out_of_scope,"Зрелая широко известная компания на поздней стадии, не новый стартап в смысле радара; вау-признаков по чек-листу нет"
a-13,Smallest.ai,https://techcrunch.com/2026/07/31/smallest-ai-raises-13m-to-build-ultra-fast-voice-ai-that-sounds-genuinely-human/,no_wow,Внешних вау-свидетельств (вирусность/трекшен/новая категория) в выдаче не найдено
a-14,Patronus AI,https://techcrunch.com/2026/06/25/patronus-ai-lands-50m-to-build-digital-worlds-that-stress-test-ai-agents/,no_wow,"Механика любопытная, но независимых вау-свидетельств сверх самого раунда не найдено"
a-15,Probably,https://techcrunch.com/2026/06/16/probably-raises-9m-to-build-a-more-reliable-kind-of-ai/,no_wow,$9M seed без внешнего эха и подтверждённого вау
