candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
ru-mn-gazpromneft-era-optima-01,Газпром нефть,in-house НТЦ Газпром нефти,https://cio.osp.ru/news/260319-Gazprom-neft-ispolzuet-iskusstvennyy-intellekt-v-razrabotke-mestorozhdeniy,ИИ-система ЭРА:ОптимА для оптимизации разработки месторождений,oil-extraction,optimization,included,"Названный клиент, конкретный пилот на 2 месторождениях, измеримые цифры"
ru-mn-gazpromneft-ai-assistant-02,Газпром нефть,in-house,https://www.comnews.ru/content/246307/2026-07-09/2026-w28/1009/gazprom-neft-razrabatyvaet-ii-pomoschnika-dlya-upravleniya-dobychey,ИИ-помощник с чат-интерфейсом для инженеров разработки,oil-extraction,operations-copilot,included,"Прототип без метрик, но реальная разработка с деталями"
ru-mn-rosneft-seismic-nn-01,Роснефть (РН-КрасноярскНИПИнефть),in-house,https://www.comnews.ru/digital-economy/content/224564/2023-02-22/2023-w08/rosneft-vnedryaet-neyroseti-obrabotku-dannykh-seysmorazvedki,Нейросеть для 10-кратного ускорения обработки сейсмоданных,oil-extraction,research-development,included,"Измеримый результат (10х), протестировано на реальных данных"
ru-mn-sibur-cv-materials-01,СИБУР,in-house СИБУР Инновации,https://www.cnews.ru/news/line/2026-02-26_sibur_uskoryaet_analiticheskie,ИИ-анализ изображений микроструктуры материалов в R&D,refining,research-development,included,"Измеримые цифры (7х, 85% совпадение)"
ru-mn-tatneft-video-analytics-01,Татнефть,ТатИТнефть (in-house),https://up-pro.ru/library/information_systems/automation_production/iskusstvennyj-intellekt-opyt-tatnefti/,Платформа фото-видеоаналитики для контроля безопасности,oil-extraction,cv-inspection,included,"Масштабное внедрение во всех НГДУ, детальное описание"
ru-mn-nornickel-kgmk-cv-01,Норникель (КГМК),Норникель Спутник (in-house),https://up-pro.ru/library/information_systems/automation_production/kak-ii-sledit-za-narusheniyami/,CV-контроль опасных зон на электролизе никеля,mining,security,included,"Измеримая точность >90%, конкретная площадка"
ru-mn-nornickel-ppe-cv-02,Норникель (Кольская ГМК),Нортех (in-house),https://nornickel.digital/cifra_v_nornikele/nornikel_nachal_ispolzovat_sistemu_videokontrolya_sredstv_individualnojj_zashhity,Видеоконтроль СИЗ на энергообъектах,mining,security,included,"Первичный источник клиента, точность 95%"
ru-mn-alrosa-exploration-ai-01,АЛРОСА,Цифровая лаборатория АЛРОСА (in-house),https://www.alrosa.ru/press-center/news/2025/alrosa-vnedrit-iskusstvennyy-intellekt-v-poisk-mestorozhdeniy-almazov/,ИИ/LLM для поиска месторождений алмазов,mining,research-development,included,"Первичный источник клиента, конкретный пилотный полигон"
ru-mn-vistgroup-dispatch-01,"«Ресурс» (угледобывающая компания)",ВИСТ Групп,https://www.comnews.ru/digital-economy/content/202357/2019-10-15/2019-w42/vist-grupp-vnedrit-avtomatizirovannuyu-sistemu-dispetcherizacii-taldinskom-mestorozhdeniya,Диспетчеризация карьерного автотранспорта на Талдинском месторождении,mining,scheduling-dispatching,included,"Назван клиент и масштаб, но результат только ожидаемый"
no-mn-equinor-predictive-maintenance-01,Equinor,in-house,https://jpt.spe.org/equinor-says-ai-saved-it-130m-in-2025,Предиктивное обслуживание вращающегося оборудования,oil-extraction,predictive-maintenance,included,"Сильные измеримые финансовые результаты ($120М с 2020)"
no-mn-equinor-seismic-ai-02,Equinor,in-house,https://jpt.spe.org/equinor-says-ai-saved-it-130m-in-2025,ИИ-интерпретация сейсмики шельфа (10х пропускная способность),oil-extraction,research-development,included,"Отдельный от predictive maintenance проект, тот же источник"
